Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
valentino-uomo-born-in-roma-edt,Valentino Uomo Born In Roma Eau de Toilette,"<p>Valentino Uomo Born In Roma Eau de Toilette with a clean, modern scent profile and all-day wear.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,VAL-ROMA-EDT-100,350,28,deny,manual,118.00,151.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma Eau de Toilette product image 1,active
valentino-uomo-born-in-roma-edt,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma Eau de Toilette product image 2,
valentino-uomo-born-in-roma-edt,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma Eau de Toilette product image 3,
valentino-uomo-born-in-roma-edt,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma Eau de Toilette product image 4,
valentino-uomo-born-in-roma-edt,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma Eau de Toilette product image 5,
dior-sauvage-eau-forte,Dior Sauvage Eau Forte,"<p>Dior Sauvage Eau Forte with a clean, modern scent profile and all-day wear.</p>",Dior,Cologne,"cologne,men,dior,mainstream",TRUE,Title,Default Title,DIOR-SAUV-EF-100,350,24,deny,manual,129.00,169.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,1,Dior Sauvage Eau Forte product image 1,active
dior-sauvage-eau-forte,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,2,Dior Sauvage Eau Forte product image 2,
dior-sauvage-eau-forte,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,3,Dior Sauvage Eau Forte product image 3,
dior-sauvage-eau-forte,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,4,Dior Sauvage Eau Forte product image 4,
dior-sauvage-eau-forte,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,5,Dior Sauvage Eau Forte product image 5,
ysl-y-eau-de-parfum,Y Eau de Parfum,"<p>Y Eau de Parfum with a clean, modern scent profile and all-day wear.</p>",Yves Saint Laurent,Cologne,"cologne,men,ysl,mainstream",TRUE,Title,Default Title,YSL-Y-EDP-100,350,22,deny,manual,124.00,159.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,1,Y Eau de Parfum product image 1,active
ysl-y-eau-de-parfum,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,2,Y Eau de Parfum product image 2,
ysl-y-eau-de-parfum,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,3,Y Eau de Parfum product image 3,
ysl-y-eau-de-parfum,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,4,Y Eau de Parfum product image 4,
ysl-y-eau-de-parfum,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,5,Y Eau de Parfum product image 5,
acqua-di-gio-eau-de-toilette,Acqua di Gio Eau de Toilette,"<p>Acqua di Gio Eau de Toilette with a clean, modern scent profile and all-day wear.</p>",Giorgio Armani,Cologne,"cologne,men,armani,mainstream",TRUE,Title,Default Title,ARM-ADG-EDT-100,350,30,deny,manual,99.00,130.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,1,Acqua di Gio Eau de Toilette product image 1,active
acqua-di-gio-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Acqua di Gio Eau de Toilette product image 2,
acqua-di-gio-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Acqua di Gio Eau de Toilette product image 3,
acqua-di-gio-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Acqua di Gio Eau de Toilette product image 4,
acqua-di-gio-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Acqua di Gio Eau de Toilette product image 5,
armani-code-eau-de-toilette,Armani Code Eau de Toilette,"<p>Armani Code Eau de Toilette with a clean, modern scent profile and all-day wear.</p>",Giorgio Armani,Cologne,"cologne,men,armani,mainstream",TRUE,Title,Default Title,ARM-CODE-EDT-100,350,20,deny,manual,112.00,145.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,1,Armani Code Eau de Toilette product image 1,active
armani-code-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,2,Armani Code Eau de Toilette product image 2,
armani-code-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,3,Armani Code Eau de Toilette product image 3,
armani-code-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,4,Armani Code Eau de Toilette product image 4,
armani-code-eau-de-toilette,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,5,Armani Code Eau de Toilette product image 5,
stronger-with-you-intensely-edp,Stronger With You Intensely Eau de Parfum,"<p>Stronger With You Intensely Eau de Parfum with a clean, modern scent profile and all-day wear.</p>",Giorgio Armani,Cologne,"cologne,men,armani,mainstream",TRUE,Title,Default Title,ARM-SWYI-EDP-100,350,18,deny,manual,126.00,165.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,1,Stronger With You Intensely Eau de Parfum product image 1,active
stronger-with-you-intensely-edp,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,2,Stronger With You Intensely Eau de Parfum product image 2,
stronger-with-you-intensely-edp,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,3,Stronger With You Intensely Eau de Parfum product image 3,
stronger-with-you-intensely-edp,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,4,Stronger With You Intensely Eau de Parfum product image 4,
stronger-with-you-intensely-edp,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,5,Stronger With You Intensely Eau de Parfum product image 5,
versace-eros-eau-de-parfum,Versace Eros Eau de Parfum,"<p>Versace Eros Eau de Parfum with a clean, modern scent profile and all-day wear.</p>",Versace,Cologne,"cologne,men,versace,mainstream",TRUE,Title,Default Title,VER-EROS-EDP-100,350,26,deny,manual,117.00,149.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,1,Versace Eros Eau de Parfum product image 1,active
versace-eros-eau-de-parfum,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,2,Versace Eros Eau de Parfum product image 2,
