Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
valentino-uomo-born-in-roma-travel-spray-10ml,Valentino Uomo Born In Roma Travel Spray 10ml,"<p><strong>Valentino Uomo Born In Roma Travel Spray 10ml</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-001-VALE-01-4596,350,19,deny,manual,33.04,42.29,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma Travel Spray 10ml image 1,active
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma Travel Spray 10ml image 2,
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma Travel Spray 10ml image 3,
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma Travel Spray 10ml image 4,
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma Travel Spray 10ml image 5,
valentino-uomo-born-in-roma-30ml,Valentino Uomo Born In Roma 30ml,"<p><strong>Valentino Uomo Born In Roma 30ml</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+30ml"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-002-VALE-02-4596,350,24,deny,manual,61.36,78.54,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 30ml image 1,active
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma 30ml image 2,
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma 30ml image 3,
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma 30ml image 4,
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma 30ml image 5,
valentino-uomo-born-in-roma-50ml,Valentino Uomo Born In Roma 50ml,"<p><strong>Valentino Uomo Born In Roma 50ml</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+50ml"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-003-VALE-03-4596,350,29,deny,manual,84.96,108.75,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 50ml image 1,active
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma 50ml image 2,
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma 50ml image 3,
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma 50ml image 4,
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma 50ml image 5,
valentino-uomo-born-in-roma-100ml,Valentino Uomo Born In Roma 100ml,"<p><strong>Valentino Uomo Born In Roma 100ml</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+100ml"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-004-VALE-04-4596,350,36,deny,manual,118.00,151.04,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 100ml image 1,active
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma 100ml image 2,
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma 100ml image 3,
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma 100ml image 4,
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma 100ml image 5,
valentino-uomo-born-in-roma-150ml,Valentino Uomo Born In Roma 150ml,"<p><strong>Valentino Uomo Born In Roma 150ml</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+150ml"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-005-VALE-05-4596,350,29,deny,manual,143.96,184.27,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 150ml image 1,active
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma 150ml image 2,
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma 150ml image 3,
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma 150ml image 4,
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma 150ml image 5,
valentino-uomo-born-in-roma-200ml,Valentino Uomo Born In Roma 200ml,"<p><strong>Valentino Uomo Born In Roma 200ml</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+200ml"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-006-VALE-06-4596,350,22,deny,manual,167.56,214.48,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 200ml image 1,active
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma 200ml image 2,
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma 200ml image 3,
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma 200ml image 4,
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma 200ml image 5,
valentino-uomo-born-in-roma-gift-set,Valentino Uomo Born In Roma Gift Set,"<p><strong>Valentino Uomo Born In Roma Gift Set</strong> by Valentino is a popular mainstream cologne with strong buyer demand.</p><p>Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection.</p><p><strong>Why customers buy it:</strong> recognizable name, gift-friendly presentation, and versatile scent profile.</p><p><strong>Supplier check link:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Gift+Set"">View supplier listing</a></p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8-007-VALE-07-4596,350,14,deny,manual,135.70,173.70,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma Gift Set image 1,active
valentino-uomo-born-in-roma-gift-set,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,2,Valentino Uomo Born In Roma Gift Set image 2,
valentino-uomo-born-in-roma-gift-set,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,3,Valentino Uomo Born In Roma Gift Set image 3,
valentino-uomo-born-in-roma-gift-set,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,4,Valentino Uomo Born In Roma Gift Set image 4,
valentino-uomo-born-in-roma-gift-set,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,5,Valentino Uomo Born In Roma Gift Set image 5,
