SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
WATCH-00001,Classic Silver Watch 001,classic-silver-watch-001,Classic watch in silver finish. Fashion-forward style for daily wear and gifting.,39.99,53.99,9,https://picsum.photos/seed/watch-00001/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00002,Minimal Gold Watch 002,minimal-gold-watch-002,Minimal watch in gold finish. Fashion-forward style for daily wear and gifting.,41.38,55.87,10,https://picsum.photos/seed/watch-00002/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00003,Modern Rose Gold Watch 003,modern-rose-gold-watch-003,Modern watch in rose gold finish. Fashion-forward style for daily wear and gifting.,42.77,57.75,11,https://picsum.photos/seed/watch-00003/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00004,Luxury Black Watch 004,luxury-black-watch-004,Luxury watch in black finish. Fashion-forward style for daily wear and gifting.,44.17,59.63,12,https://picsum.photos/seed/watch-00004/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00005,Everyday Steel Watch 005,everyday-steel-watch-005,Everyday watch in steel finish. Fashion-forward style for daily wear and gifting.,45.56,61.51,13,https://picsum.photos/seed/watch-00005/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00006,Premium Titanium Watch 006,premium-titanium-watch-006,Premium watch in titanium finish. Fashion-forward style for daily wear and gifting.,46.95,63.39,14,https://picsum.photos/seed/watch-00006/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00007,Slim Silver Watch 007,slim-silver-watch-007,Slim watch in silver finish. Fashion-forward style for daily wear and gifting.,48.34,65.26,15,https://picsum.photos/seed/watch-00007/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00008,Bold Gold Watch 008,bold-gold-watch-008,Bold watch in gold finish. Fashion-forward style for daily wear and gifting.,49.74,67.14,16,https://picsum.photos/seed/watch-00008/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00009,Classic Rose Gold Watch 009,classic-rose-gold-watch-009,Classic watch in rose gold finish. Fashion-forward style for daily wear and gifting.,51.13,69.02,17,https://picsum.photos/seed/watch-00009/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00010,Minimal Black Watch 010,minimal-black-watch-010,Minimal watch in black finish. Fashion-forward style for daily wear and gifting.,52.52,70.90,18,https://picsum.photos/seed/watch-00010/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00011,Modern Steel Watch 011,modern-steel-watch-011,Modern watch in steel finish. Fashion-forward style for daily wear and gifting.,53.91,72.78,19,https://picsum.photos/seed/watch-00011/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00012,Luxury Titanium Watch 012,luxury-titanium-watch-012,Luxury watch in titanium finish. Fashion-forward style for daily wear and gifting.,55.31,74.66,20,https://picsum.photos/seed/watch-00012/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00013,Everyday Silver Watch 013,everyday-silver-watch-013,Everyday watch in silver finish. Fashion-forward style for daily wear and gifting.,56.70,76.54,21,https://picsum.photos/seed/watch-00013/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00014,Premium Gold Watch 014,premium-gold-watch-014,Premium watch in gold finish. Fashion-forward style for daily wear and gifting.,58.09,78.42,22,https://picsum.photos/seed/watch-00014/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00015,Slim Rose Gold Watch 015,slim-rose-gold-watch-015,Slim watch in rose gold finish. Fashion-forward style for daily wear and gifting.,59.48,80.30,23,https://picsum.photos/seed/watch-00015/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00016,Bold Black Watch 016,bold-black-watch-016,Bold watch in black finish. Fashion-forward style for daily wear and gifting.,60.88,82.18,24,https://picsum.photos/seed/watch-00016/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00017,Classic Steel Watch 017,classic-steel-watch-017,Classic watch in steel finish. Fashion-forward style for daily wear and gifting.,62.27,84.06,25,https://picsum.photos/seed/watch-00017/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00018,Minimal Titanium Watch 018,minimal-titanium-watch-018,Minimal watch in titanium finish. Fashion-forward style for daily wear and gifting.,63.66,85.94,26,https://picsum.photos/seed/watch-00018/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00019,Modern Silver Watch 019,modern-silver-watch-019,Modern watch in silver finish. Fashion-forward style for daily wear and gifting.,65.05,87.82,27,https://picsum.photos/seed/watch-00019/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00020,Luxury Gold Watch 020,luxury-gold-watch-020,Luxury watch in gold finish. Fashion-forward style for daily wear and gifting.,66.45,89.70,28,https://picsum.photos/seed/watch-00020/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00021,Everyday Rose Gold Watch 021,everyday-rose-gold-watch-021,Everyday watch in rose gold finish. Fashion-forward style for daily wear and gifting.,67.84,91.58,29,https://picsum.photos/seed/watch-00021/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00022,Premium Black Watch 022,premium-black-watch-022,Premium watch in black finish. Fashion-forward style for daily wear and gifting.,69.23,93.46,30,https://picsum.photos/seed/watch-00022/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00023,Slim Steel Watch 023,slim-steel-watch-023,Slim watch in steel finish. Fashion-forward style for daily wear and gifting.,70.62,95.34,31,https://picsum.photos/seed/watch-00023/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00024,Bold Titanium Watch 024,bold-titanium-watch-024,Bold watch in titanium finish. Fashion-forward style for daily wear and gifting.,72.02,97.22,32,https://picsum.photos/seed/watch-00024/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00025,Classic Silver Watch 025,classic-silver-watch-025,Classic watch in silver finish. Fashion-forward style for daily wear and gifting.,73.41,99.10,33,https://picsum.photos/seed/watch-00025/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00026,Minimal Gold Watch 026,minimal-gold-watch-026,Minimal watch in gold finish. Fashion-forward style for daily wear and gifting.,74.80,100.98,34,https://picsum.photos/seed/watch-00026/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00027,Modern Rose Gold Watch 027,modern-rose-gold-watch-027,Modern watch in rose gold finish. Fashion-forward style for daily wear and gifting.,76.19,102.86,35,https://picsum.photos/seed/watch-00027/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00028,Luxury Black Watch 028,luxury-black-watch-028,Luxury watch in black finish. Fashion-forward style for daily wear and gifting.,77.58,104.74,36,https://picsum.photos/seed/watch-00028/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00029,Everyday Steel Watch 029,everyday-steel-watch-029,Everyday watch in steel finish. Fashion-forward style for daily wear and gifting.,78.98,106.62,37,https://picsum.photos/seed/watch-00029/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00030,Premium Titanium Watch 030,premium-titanium-watch-030,Premium watch in titanium finish. Fashion-forward style for daily wear and gifting.,80.37,108.50,38,https://picsum.photos/seed/watch-00030/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00031,Slim Silver Watch 031,slim-silver-watch-031,Slim watch in silver finish. Fashion-forward style for daily wear and gifting.,81.76,110.38,39,https://picsum.photos/seed/watch-00031/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00032,Bold Gold Watch 032,bold-gold-watch-032,Bold watch in gold finish. Fashion-forward style for daily wear and gifting.,83.15,112.26,40,https://picsum.photos/seed/watch-00032/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00033,Classic Rose Gold Watch 033,classic-rose-gold-watch-033,Classic watch in rose gold finish. Fashion-forward style for daily wear and gifting.,84.55,114.14,41,https://picsum.photos/seed/watch-00033/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00034,Minimal Black Watch 034,minimal-black-watch-034,Minimal watch in black finish. Fashion-forward style for daily wear and gifting.,85.94,116.02,42,https://picsum.photos/seed/watch-00034/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00035,Modern Steel Watch 035,modern-steel-watch-035,Modern watch in steel finish. Fashion-forward style for daily wear and gifting.,87.33,117.90,43,https://picsum.photos/seed/watch-00035/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00036,Luxury Titanium Watch 036,luxury-titanium-watch-036,Luxury watch in titanium finish. Fashion-forward style for daily wear and gifting.,88.72,119.78,44,https://picsum.photos/seed/watch-00036/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00037,Everyday Silver Watch 037,everyday-silver-watch-037,Everyday watch in silver finish. Fashion-forward style for daily wear and gifting.,90.12,121.66,45,https://picsum.photos/seed/watch-00037/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00038,Premium Gold Watch 038,premium-gold-watch-038,Premium watch in gold finish. Fashion-forward style for daily wear and gifting.,91.51,123.54,46,https://picsum.photos/seed/watch-00038/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00039,Slim Rose Gold Watch 039,slim-rose-gold-watch-039,Slim watch in rose gold finish. Fashion-forward style for daily wear and gifting.,92.90,125.42,47,https://picsum.photos/seed/watch-00039/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00040,Bold Black Watch 040,bold-black-watch-040,Bold watch in black finish. Fashion-forward style for daily wear and gifting.,94.29,127.30,48,https://picsum.photos/seed/watch-00040/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00041,Classic Steel Watch 041,classic-steel-watch-041,Classic watch in steel finish. Fashion-forward style for daily wear and gifting.,95.69,129.18,49,https://picsum.photos/seed/watch-00041/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00042,Minimal Titanium Watch 042,minimal-titanium-watch-042,Minimal watch in titanium finish. Fashion-forward style for daily wear and gifting.,97.08,131.06,50,https://picsum.photos/seed/watch-00042/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00043,Modern Silver Watch 043,modern-silver-watch-043,Modern watch in silver finish. Fashion-forward style for daily wear and gifting.,98.47,132.94,51,https://picsum.photos/seed/watch-00043/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00044,Luxury Gold Watch 044,luxury-gold-watch-044,Luxury watch in gold finish. Fashion-forward style for daily wear and gifting.,99.86,134.82,52,https://picsum.photos/seed/watch-00044/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00045,Everyday Rose Gold Watch 045,everyday-rose-gold-watch-045,Everyday watch in rose gold finish. Fashion-forward style for daily wear and gifting.,101.26,136.70,53,https://picsum.photos/seed/watch-00045/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00046,Premium Black Watch 046,premium-black-watch-046,Premium watch in black finish. Fashion-forward style for daily wear and gifting.,102.65,138.58,54,https://picsum.photos/seed/watch-00046/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00047,Slim Steel Watch 047,slim-steel-watch-047,Slim watch in steel finish. Fashion-forward style for daily wear and gifting.,104.04,140.45,55,https://picsum.photos/seed/watch-00047/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00048,Bold Titanium Watch 048,bold-titanium-watch-048,Bold watch in titanium finish. Fashion-forward style for daily wear and gifting.,105.43,142.33,56,https://picsum.photos/seed/watch-00048/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00049,Classic Silver Watch 049,classic-silver-watch-049,Classic watch in silver finish. Fashion-forward style for daily wear and gifting.,106.83,144.21,57,https://picsum.photos/seed/watch-00049/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00050,Minimal Gold Watch 050,minimal-gold-watch-050,Minimal watch in gold finish. Fashion-forward style for daily wear and gifting.,108.22,146.09,58,https://picsum.photos/seed/watch-00050/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00051,Modern Rose Gold Watch 051,modern-rose-gold-watch-051,Modern watch in rose gold finish. Fashion-forward style for daily wear and gifting.,109.61,147.97,59,https://picsum.photos/seed/watch-00051/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00052,Luxury Black Watch 052,luxury-black-watch-052,Luxury watch in black finish. Fashion-forward style for daily wear and gifting.,111.00,149.85,60,https://picsum.photos/seed/watch-00052/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00053,Everyday Steel Watch 053,everyday-steel-watch-053,Everyday watch in steel finish. Fashion-forward style for daily wear and gifting.,112.40,151.73,61,https://picsum.photos/seed/watch-00053/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00054,Premium Titanium Watch 054,premium-titanium-watch-054,Premium watch in titanium finish. Fashion-forward style for daily wear and gifting.,113.79,153.61,62,https://picsum.photos/seed/watch-00054/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00055,Slim Silver Watch 055,slim-silver-watch-055,Slim watch in silver finish. Fashion-forward style for daily wear and gifting.,115.18,155.49,63,https://picsum.photos/seed/watch-00055/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00056,Bold Gold Watch 056,bold-gold-watch-056,Bold watch in gold finish. Fashion-forward style for daily wear and gifting.,116.57,157.37,64,https://picsum.photos/seed/watch-00056/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00057,Classic Rose Gold Watch 057,classic-rose-gold-watch-057,Classic watch in rose gold finish. Fashion-forward style for daily wear and gifting.,117.96,159.25,65,https://picsum.photos/seed/watch-00057/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00058,Minimal Black Watch 058,minimal-black-watch-058,Minimal watch in black finish. Fashion-forward style for daily wear and gifting.,119.36,161.13,66,https://picsum.photos/seed/watch-00058/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00059,Modern Steel Watch 059,modern-steel-watch-059,Modern watch in steel finish. Fashion-forward style for daily wear and gifting.,120.75,163.01,67,https://picsum.photos/seed/watch-00059/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00060,Luxury Titanium Watch 060,luxury-titanium-watch-060,Luxury watch in titanium finish. Fashion-forward style for daily wear and gifting.,122.14,164.89,8,https://picsum.photos/seed/watch-00060/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00061,Everyday Silver Watch 061,everyday-silver-watch-061,Everyday watch in silver finish. Fashion-forward style for daily wear and gifting.,123.53,166.77,9,https://picsum.photos/seed/watch-00061/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00062,Premium Gold Watch 062,premium-gold-watch-062,Premium watch in gold finish. Fashion-forward style for daily wear and gifting.,124.93,168.65,10,https://picsum.photos/seed/watch-00062/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00063,Slim Rose Gold Watch 063,slim-rose-gold-watch-063,Slim watch in rose gold finish. Fashion-forward style for daily wear and gifting.,126.32,170.53,11,https://picsum.photos/seed/watch-00063/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00064,Bold Black Watch 064,bold-black-watch-064,Bold watch in black finish. Fashion-forward style for daily wear and gifting.,127.71,172.41,12,https://picsum.photos/seed/watch-00064/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00065,Classic Steel Watch 065,classic-steel-watch-065,Classic watch in steel finish. Fashion-forward style for daily wear and gifting.,129.10,174.29,13,https://picsum.photos/seed/watch-00065/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00066,Minimal Titanium Watch 066,minimal-titanium-watch-066,Minimal watch in titanium finish. Fashion-forward style for daily wear and gifting.,130.50,176.17,14,https://picsum.photos/seed/watch-00066/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00067,Modern Silver Watch 067,modern-silver-watch-067,Modern watch in silver finish. Fashion-forward style for daily wear and gifting.,131.89,178.05,15,https://picsum.photos/seed/watch-00067/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00068,Luxury Gold Watch 068,luxury-gold-watch-068,Luxury watch in gold finish. Fashion-forward style for daily wear and gifting.,133.28,179.93,16,https://picsum.photos/seed/watch-00068/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00069,Everyday Rose Gold Watch 069,everyday-rose-gold-watch-069,Everyday watch in rose gold finish. Fashion-forward style for daily wear and gifting.,134.67,181.81,17,https://picsum.photos/seed/watch-00069/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00070,Premium Black Watch 070,premium-black-watch-070,Premium watch in black finish. Fashion-forward style for daily wear and gifting.,136.07,183.69,18,https://picsum.photos/seed/watch-00070/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00071,Slim Steel Watch 071,slim-steel-watch-071,Slim watch in steel finish. Fashion-forward style for daily wear and gifting.,137.46,185.57,19,https://picsum.photos/seed/watch-00071/1200/1200,active,"watch,jewelry,timepiece"
WATCH-00072,Bold Titanium Watch 072,bold-titanium-watch-072,Bold watch in titanium finish. Fashion-forward style for daily wear and gifting.,138.85,187.45,20,https://picsum.photos/seed/watch-00072/1200/1200,active,"watch,jewelry,timepiece"
