SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
ADDONLY-SB-DROP6-001-003962,Deep/Dark Powder Contour Palette,Deep/Dark Powder Contour Palette from Sally Beauty. Category: beauty / makeup / face. Source: https://www.sallybeauty.com/beauty/makeup/face/deep-dark-powder-contour-palette/SBS-003962.html,14.99,19.19,13,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd24e495c/images/large/SBS-003962.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-002-009403,Setting Spray,Setting Spray from Sally Beauty. Category: beauty / makeup / face. Source: https://www.sallybeauty.com/beauty/makeup/face/setting-spray/SBS-009403.html,7.29,9.33,14,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwd0c5b6c1/images/large/SBS-009403.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-003-528401,Instant Arched Brows,Instant Arched Brows from Sally Beauty. Category: beauty / makeup / eyebrows. Source: https://www.sallybeauty.com/beauty/makeup/eyebrows/instant-arched-brows/SBS-528401.html,5.19,6.64,15,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw7cfdaad5/images/large/SBS-528401.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-004-525350,Facial Hair Razors,Facial Hair Razors from Sally Beauty. Category: beauty / makeup / tools and brushes. Source: https://www.sallybeauty.com/beauty/makeup/tools-and-brushes/eyebrow-shaper/SBS-525350.html,5.99,7.67,16,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwbfc9c855/images/large/SBS-525350.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-005-655614,Charcoal Powder Cleanser,Charcoal Powder Cleanser from Sally Beauty. Category: beauty / skincare / cleansers and toners. Source: https://www.sallybeauty.com/beauty/skincare/cleansers-and-toners/charcoal-powder-cleanser/SBS-655614.html,2.00,2.56,17,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwfc424304/images/large/SBS-655614.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-006-169609,Body Buffing Pad,Body Buffing Pad from Sally Beauty. Category: beauty / skincare / body care. Source: https://www.sallybeauty.com/beauty/skincare/body-care/body-buffing-pad/SBS-169609.html,2.99,3.83,18,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw906216a7/images/large/SBS-169609.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-007-008834,Glow Serum with Plant-derived Squalane,Glow Serum with Plant-derived Squalane from Sally Beauty. Category: beauty / skincare / glow serum with plant derived squalane. Source: https://www.sallybeauty.com/beauty/skincare/glow-serum-with-plant-derived-squalane/SBS-008834.html,19.79,25.33,19,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw5c313afc/images/large/SBS-008834.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-008-009851,Mini Cleansing Brush,Mini Cleansing Brush from Sally Beauty. Category: beauty / skincare / skincare accessories and tools. Source: https://www.sallybeauty.com/beauty/skincare/skincare-accessories-and-tools/mini-cleansing-brush/SBS-009851.html,2.75,3.52,20,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3d558bda/images/large/SBS-009851.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-009-009492,Premium Cotton Cleansing Pads,Premium Cotton Cleansing Pads from Sally Beauty. Category: beauty / skincare / skincare accessories and tools. Source: https://www.sallybeauty.com/beauty/skincare/skincare-accessories-and-tools/premium-cotton-cleansing-pads/SBS-009492.html,9.99,12.79,21,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw05871d85/images/large/SBS-009492.png?sw=650&sh=650,active,"sallybeauty,drop6,beauty"
ADDONLY-SB-DROP6-010-705333,Instant Self Tanner Bronzing Mousse,Instant Self Tanner Bronzing Mousse from Sally Beauty. Category: cosmetics and skin care / waxing and tanning / self tanning. Source: https://www.sallybeauty.com/cosmetics-and-skin-care/waxing-and-tanning/self-tanning/instant-self-tanner-bronzing-mousse/SBS-705333.html,14.29,18.29,22,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw039287ab/images/large/SBS-705333.png?sw=650&sh=650,active,"sallybeauty,drop6,cosmetics-and-skin-care"
