Item ID,Title,Vendor,Product Type,Price,Inventory quantity,Main image,Additional images,Shipping details,Source URL
SBS-785225,Cordless Magic Clip,Wahl,Barber Supplies / Clippers & Beard Trimmers,159.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0f0bfd8a/images/large/SBS-785225-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0f0bfd8a/images/large/SBS-785225-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw36292ee5/images/large/SBS-785225-7.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw36292ee5/images/large/SBS-785225-7.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw5906a22c/images/large/SBS-785225-4.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/cordless-magic-clip/SBS-785225.html
SBS-008820,GOLDFX Clipper,BaBylissPRO GOLDFX,Clippers & Beard Trimmers / Hair Clippers,259.99,270,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwae1da903/images/large/SBS-008820-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwae1da903/images/large/SBS-008820-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc1213bc8/images/large/SBS-008820.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc1213bc8/images/large/SBS-008820.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/hair-clippers/goldfx-clipper/SBS-008820.html
SBS-345333,Silver Metals Cordless Metal Double Foil Shaver,BaBylissPRO,Barber Supplies / Clippers & Beard Trimmers,169.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0063b798/images/large/SBS-345333-4.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0063b798/images/large/SBS-345333-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2d3a12fb/images/large/SBS-345333-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2d3a12fb/images/large/SBS-345333-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw319e00fb/images/large/SBS-345333-1.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/silver-metals-cordless-metal-double-foil-shaver/SBS-345333.html
SBS-395010,T-Outliner T-Blade Trimmer,Andis,Barber Supplies / Clippers & Beard Trimmers,89.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw024cd2f0/images/large/SBS-395010-3.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw024cd2f0/images/large/SBS-395010-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw344c9168/images/large/SBS-395010-6.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw344c9168/images/large/SBS-395010-6.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw35797a79/images/large/SBS-395010.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/t-outliner-t-blade-trimmer/SBS-395010.html
SBS-345331,Silver Metals Cordless Clipper,BaBylissPRO,Hair Styling Tools / Hair Clippers & Trimmers,259.99,83,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2de699a9/images/large/SBS-345331-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2de699a9/images/large/SBS-345331-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwfaca9840/images/large/SBS-345331.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwfaca9840/images/large/SBS-345331.png?sw=650&sh=650,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-styling-tools/hair-clippers-and-trimmers/silver-metals-cordless-clipper/SBS-345331.html
SBS-500264,Soft Auburn Permanent Creme Hair Color,L'Oreal Technique Excellence,Red Hair Color / Auburn Hair Color,13.19,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw18d50d27/images/large/SBS-500264-4.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw18d50d27/images/large/SBS-500264-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwb2ac0724/images/large/SBS-500264-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwb2ac0724/images/large/SBS-500264-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc7b6ecc7/images/large/SBS-500264-3.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/auburn-hair-color/soft-auburn-permanent-creme-hair-color/SBS-500264.html
SBS-500243,HiColor Red HiLights Copper Permanent Creme Hair Color,L'Oreal Technique Excellence,Shop by Color / Red Hair Color,13.19,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw10841dca/images/large/SBS-500243-3.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw10841dca/images/large/SBS-500243-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw56598b07/images/large/SBS-500243-1.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw56598b07/images/large/SBS-500243-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa06df14d/images/large/SBS-500243.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-copper-permanent-creme-hair-color/SBS-500243.html
SBS-500240,HiColor Red HiLights Magenta Permanent Creme Hair Color,L'Oreal Technique Excellence,Shop by Color / Red Hair Color,13.19,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3923bd4e/images/large/SBS-500240.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3923bd4e/images/large/SBS-500240.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3b83c5eb/images/large/SBS-500240-1.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3b83c5eb/images/large/SBS-500240-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw4ef66559/images/large/SBS-500240-4.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-magenta-permanent-creme-hair-color/SBS-500240.html
SBS-500241,HiColor Red HiLights Red Permanent Creme Hair Color,L'Oreal Technique Excellence,Shop by Color / Red Hair Color,13.19,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0ecb1d81/images/large/SBS-500241-3.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0ecb1d81/images/large/SBS-500241-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2c22628f/images/large/SBS-500241-4.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2c22628f/images/large/SBS-500241-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw36994c2b/images/large/SBS-500241-2.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-red-permanent-creme-hair-color/SBS-500241.html
SBS-500268,Sizzling Copper Permanent Creme Hair Color,L'Oreal Technique Excellence,Shop by Color / Red Hair Color,13.19,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw223906c5/images/large/SBS-500268-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw223906c5/images/large/SBS-500268-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw24d51627/images/large/SBS-500268-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw24d51627/images/large/SBS-500268-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3044ef9e/images/large/SBS-500268-3.jpg?sw=750&sh=750&sfrm=png,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/sizzling-copper-permanent-creme-hair-color/SBS-500268.html
