SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Additional image URLs,Supplier 1,Supplier 1 URL,Supplier 2,Supplier 2 URL,Supplier 3,Supplier 3 URL,Status,Tags
DROP8-001-VALE-01-4596,Valentino Uomo Born In Roma Travel Spray 10ml,"Valentino Uomo Born In Roma Travel Spray 10ml by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",33.04,42.29,19,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-002-VALE-02-4596,Valentino Uomo Born In Roma 30ml,"Valentino Uomo Born In Roma 30ml by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",61.36,78.54,24,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+30ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+30ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+30ml,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-003-VALE-03-4596,Valentino Uomo Born In Roma 50ml,"Valentino Uomo Born In Roma 50ml by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",84.96,108.75,29,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+50ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+50ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+50ml,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-004-VALE-04-4596,Valentino Uomo Born In Roma 100ml,"Valentino Uomo Born In Roma 100ml by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",118.00,151.04,36,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+100ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+100ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+100ml,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-005-VALE-05-4596,Valentino Uomo Born In Roma 150ml,"Valentino Uomo Born In Roma 150ml by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",143.96,184.27,29,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+150ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+150ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+150ml,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-006-VALE-06-4596,Valentino Uomo Born In Roma 200ml,"Valentino Uomo Born In Roma 200ml by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",167.56,214.48,22,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+200ml,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+200ml,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+200ml,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-007-VALE-07-4596,Valentino Uomo Born In Roma Gift Set,"Valentino Uomo Born In Roma Gift Set by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",135.70,173.70,14,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1564644411635-5ec7c9aca726?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=21-swan-3C5ZfCLSGC4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Gift+Set,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Gift+Set,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Gift+Set,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-008-VALE-08-4596,Valentino Uomo Born In Roma Holiday Box,"Valentino Uomo Born In Roma Holiday Box by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",139.24,178.23,13,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Holiday+Box,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Holiday+Box,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Holiday+Box,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-009-VALE-09-4596,Valentino Uomo Born In Roma Limited Edition,"Valentino Uomo Born In Roma Limited Edition by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",127.44,163.12,12,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Limited+Edition,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Limited+Edition,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Limited+Edition,active,"cologne,men,valentino,mainstream,drop8,5photos"
DROP8-010-VALE-10-4596,Valentino Uomo Born In Roma Refill,"Valentino Uomo Born In Roma Refill by Valentino is a popular mainstream cologne with strong buyer demand. Fresh citrus opening, aromatic heart, and smooth amber/woody dry-down. Built for everyday wear, date nights, and special events with long-lasting projection. Why customers buy it: recognizable name, gift-friendly presentation, and versatile scent profile. Supplier check link: View supplier listing",108.56,138.96,18,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400 | https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,FragranceNet,https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Refill,FragranceX,https://www.fragrancex.com/search/search_results?search=Valentino+Uomo+Born+In+Roma+Refill,Perfume.com,https://www.perfume.com/search?keyword=Valentino+Uomo+Born+In+Roma+Refill,active,"cologne,men,valentino,mainstream,drop8,5photos"
