SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Additional image URLs,Status,Tags
SET9-VRS-001-232011,Versace Eros Eau de Toilette - Travel Spray 10ml,"<p><strong>Versace Eros Eau de Toilette - Travel Spray 10ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",31.36,40.14,16,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg | https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg | https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg | https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,active,"cologne,men,versace,set9,year-round,fresh-aromatic-woody,stocksync-add-5img"
SET9-VRS-002-232011,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml,"<p><strong>Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",84.00,107.52,22,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg | https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg | https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg | https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,active,"cologne,men,versace,set9,year-round,fresh-aromatic-woody,stocksync-add-5img"
SET9-VRS-003-232011,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml,"<p><strong>Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",112.00,143.36,30,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg | https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg | https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg | https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,active,"cologne,men,versace,set9,year-round,fresh-aromatic-woody,stocksync-add-5img"
SET9-VRS-004-232011,Versace Eros Eau de Toilette - Large Bottle 150ml,"<p><strong>Versace Eros Eau de Toilette - Large Bottle 150ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",140.00,179.20,18,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg | https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg | https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg | https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,active,"cologne,men,versace,set9,year-round,fresh-aromatic-woody,stocksync-add-5img"
SET9-VRS-005-232011,Versace Eros Eau de Toilette - Gift Set,"<p><strong>Versace Eros Eau de Toilette - Gift Set</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",132.16,169.16,14,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg | https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg | https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg | https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,active,"cologne,men,versace,set9,year-round,fresh-aromatic-woody,stocksync-add-5img"
SET9-VRS-006-372595,Versace Eros Eau de Parfum - Travel Spray 10ml,"<p><strong>Versace Eros Eau de Parfum - Travel Spray 10ml</strong> by Versace is built for <strong>year-round</strong> wear with a warm aromatic vanilla profile.</p><p><strong>Fragrance notes:</strong> mint, lemon, tonka bean, vetiver, vanilla.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Parfum"">Perfume.com</a></p>",33.04,42.29,16,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,https://cdn.fragrancenet.com/images/photos/600x600/372595.jpg | https://cdn.fragrancenet.com/images/photos/500x500/372595.jpg | https://cdn.fragrancenet.com/images/photos/300x300/372595.jpg | https://cdn.fragrancenet.com/images/photos/250x250/372595.jpg,active,"cologne,men,versace,set9,year-round,warm-aromatic-vanilla,stocksync-add-5img"
SET9-VRS-007-372595,Versace Eros Eau de Parfum - Eau de Toilette / Parfum 50ml,"<p><strong>Versace Eros Eau de Parfum - Eau de Toilette / Parfum 50ml</strong> by Versace is built for <strong>year-round</strong> wear with a warm aromatic vanilla profile.</p><p><strong>Fragrance notes:</strong> mint, lemon, tonka bean, vetiver, vanilla.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Parfum"">Perfume.com</a></p>",88.50,113.28,22,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,https://cdn.fragrancenet.com/images/photos/600x600/372595.jpg | https://cdn.fragrancenet.com/images/photos/500x500/372595.jpg | https://cdn.fragrancenet.com/images/photos/300x300/372595.jpg | https://cdn.fragrancenet.com/images/photos/250x250/372595.jpg,active,"cologne,men,versace,set9,year-round,warm-aromatic-vanilla,stocksync-add-5img"
SET9-VRS-008-372595,Versace Eros Eau de Parfum - Eau de Toilette / Parfum 100ml,"<p><strong>Versace Eros Eau de Parfum - Eau de Toilette / Parfum 100ml</strong> by Versace is built for <strong>year-round</strong> wear with a warm aromatic vanilla profile.</p><p><strong>Fragrance notes:</strong> mint, lemon, tonka bean, vetiver, vanilla.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Parfum"">Perfume.com</a></p>",118.00,151.04,30,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,https://cdn.fragrancenet.com/images/photos/600x600/372595.jpg | https://cdn.fragrancenet.com/images/photos/500x500/372595.jpg | https://cdn.fragrancenet.com/images/photos/300x300/372595.jpg | https://cdn.fragrancenet.com/images/photos/250x250/372595.jpg,active,"cologne,men,versace,set9,year-round,warm-aromatic-vanilla,stocksync-add-5img"
SET9-VRS-009-372595,Versace Eros Eau de Parfum - Large Bottle 150ml,"<p><strong>Versace Eros Eau de Parfum - Large Bottle 150ml</strong> by Versace is built for <strong>year-round</strong> wear with a warm aromatic vanilla profile.</p><p><strong>Fragrance notes:</strong> mint, lemon, tonka bean, vetiver, vanilla.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Parfum"">Perfume.com</a></p>",147.50,188.80,18,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,https://cdn.fragrancenet.com/images/photos/600x600/372595.jpg | https://cdn.fragrancenet.com/images/photos/500x500/372595.jpg | https://cdn.fragrancenet.com/images/photos/300x300/372595.jpg | https://cdn.fragrancenet.com/images/photos/250x250/372595.jpg,active,"cologne,men,versace,set9,year-round,warm-aromatic-vanilla,stocksync-add-5img"
SET9-VRS-010-372595,Versace Eros Eau de Parfum - Gift Set,"<p><strong>Versace Eros Eau de Parfum - Gift Set</strong> by Versace is built for <strong>year-round</strong> wear with a warm aromatic vanilla profile.</p><p><strong>Fragrance notes:</strong> mint, lemon, tonka bean, vetiver, vanilla.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Parfum"">Perfume.com</a></p>",139.24,178.23,14,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,https://cdn.fragrancenet.com/images/photos/600x600/372595.jpg | https://cdn.fragrancenet.com/images/photos/500x500/372595.jpg | https://cdn.fragrancenet.com/images/photos/300x300/372595.jpg | https://cdn.fragrancenet.com/images/photos/250x250/372595.jpg,active,"cologne,men,versace,set9,year-round,warm-aromatic-vanilla,stocksync-add-5img"
SET9-VRS-011-332213,Versace Eros Flame Eau de Parfum - Travel Spray 10ml,"<p><strong>Versace Eros Flame Eau de Parfum - Travel Spray 10ml</strong> by Versace is built for <strong>winter</strong> wear with a spicy amber woody profile.</p><p><strong>Fragrance notes:</strong> mandarin, black pepper, rosemary, tonka bean, sandalwood.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Flame+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Flame+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Flame+Eau+de+Parfum"">Perfume.com</a></p>",30.24,38.71,16,https://cdn.fragrancenet.com/images/photos/900x900/332213.jpg,https://cdn.fragrancenet.com/images/photos/600x600/332213.jpg | https://cdn.fragrancenet.com/images/photos/500x500/332213.jpg | https://cdn.fragrancenet.com/images/photos/300x300/332213.jpg | https://cdn.fragrancenet.com/images/photos/250x250/332213.jpg,active,"cologne,men,versace,set9,winter,spicy-amber-woody,stocksync-add-5img"
SET9-VRS-012-332213,Versace Eros Flame Eau de Parfum - Eau de Toilette / Parfum 50ml,"<p><strong>Versace Eros Flame Eau de Parfum - Eau de Toilette / Parfum 50ml</strong> by Versace is built for <strong>winter</strong> wear with a spicy amber woody profile.</p><p><strong>Fragrance notes:</strong> mandarin, black pepper, rosemary, tonka bean, sandalwood.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Flame+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Flame+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Flame+Eau+de+Parfum"">Perfume.com</a></p>",81.00,103.68,22,https://cdn.fragrancenet.com/images/photos/900x900/332213.jpg,https://cdn.fragrancenet.com/images/photos/600x600/332213.jpg | https://cdn.fragrancenet.com/images/photos/500x500/332213.jpg | https://cdn.fragrancenet.com/images/photos/300x300/332213.jpg | https://cdn.fragrancenet.com/images/photos/250x250/332213.jpg,active,"cologne,men,versace,set9,winter,spicy-amber-woody,stocksync-add-5img"
SET9-VRS-013-332213,Versace Eros Flame Eau de Parfum - Eau de Toilette / Parfum 100ml,"<p><strong>Versace Eros Flame Eau de Parfum - Eau de Toilette / Parfum 100ml</strong> by Versace is built for <strong>winter</strong> wear with a spicy amber woody profile.</p><p><strong>Fragrance notes:</strong> mandarin, black pepper, rosemary, tonka bean, sandalwood.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Flame+Eau+de+Parfum"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Flame+Eau+de+Parfum"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Flame+Eau+de+Parfum"">Perfume.com</a></p>",108.00,138.24,30,https://cdn.fragrancenet.com/images/photos/900x900/332213.jpg,https://cdn.fragrancenet.com/images/photos/600x600/332213.jpg | https://cdn.fragrancenet.com/images/photos/500x500/332213.jpg | https://cdn.fragrancenet.com/images/photos/300x300/332213.jpg | https://cdn.fragrancenet.com/images/photos/250x250/332213.jpg,active,"cologne,men,versace,set9,winter,spicy-amber-woody,stocksync-add-5img"
