SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
ADDONLY-DROP5-001,Chanel Bleu Signature Eau de Parfum,"Chanel Bleu Signature Eau de Parfum. Fresh, modern profile built for daily wear and special occasions.",138.00,179.00,13,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,drop5,mainstream,mainstream,chanel"
ADDONLY-DROP5-002,Paco Rabanne 1 Million Legend,"Paco Rabanne 1 Million Legend. Fresh, modern profile built for daily wear and special occasions.",129.00,169.00,14,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,drop5,mainstream,mainstream,rabanne"
ADDONLY-DROP5-003,Versace Dylan Blue Reserve,"Versace Dylan Blue Reserve. Fresh, modern profile built for daily wear and special occasions.",122.00,159.00,15,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,drop5,mainstream,mainstream,versace"
ADDONLY-DROP5-004,Hugo Boss Bottled Night Code,"Hugo Boss Bottled Night Code. Fresh, modern profile built for daily wear and special occasions.",116.00,149.00,16,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,drop5,mainstream,mainstream,boss"
ADDONLY-DROP5-005,Burberry Hero Intense Edition,"Burberry Hero Intense Edition. Fresh, modern profile built for daily wear and special occasions.",124.00,162.00,17,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,drop5,mainstream,mainstream,burberry"
ADDONLY-DROP5-006,Prada Luna Carbon Elite,"Prada Luna Carbon Elite. Fresh, modern profile built for daily wear and special occasions.",131.00,171.00,18,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,drop5,mainstream,mainstream,prada"
ADDONLY-DROP5-007,Dolce and Gabbana The One Midnight,"Dolce and Gabbana The One Midnight. Fresh, modern profile built for daily wear and special occasions.",127.00,166.00,19,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,drop5,mainstream,mainstream,dolce-gabbana"
ADDONLY-DROP5-008,Montblanc Explorer Platinum,"Montblanc Explorer Platinum. Fresh, modern profile built for daily wear and special occasions.",109.00,145.00,20,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,montblanc"
ADDONLY-DROP5-009,Jean Paul Gaultier Le Male Noir,"Jean Paul Gaultier Le Male Noir. Fresh, modern profile built for daily wear and special occasions.",133.00,173.00,21,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,jpg"
ADDONLY-DROP5-010,Azzaro Most Wanted Black Label,"Azzaro Most Wanted Black Label. Fresh, modern profile built for daily wear and special occasions.",126.00,164.00,22,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,azzaro"
ADDONLY-DROP5-011,Valentino Uomo Urban Blend,"Valentino Uomo Urban Blend. Fresh, modern profile built for daily wear and special occasions.",134.00,174.00,23,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,valentino"
ADDONLY-DROP5-012,Dior Sauvage Storm Edition,"Dior Sauvage Storm Edition. Fresh, modern profile built for daily wear and special occasions.",142.00,182.00,24,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,dior"
ADDONLY-DROP5-013,Y Eau de Parfum Glacier Blue,"Y Eau de Parfum Glacier Blue. Fresh, modern profile built for daily wear and special occasions.",132.00,169.00,25,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,ysl"
ADDONLY-DROP5-014,Acqua di Gio Deep Ocean,"Acqua di Gio Deep Ocean. Fresh, modern profile built for daily wear and special occasions.",114.00,149.00,26,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,armani"
ADDONLY-DROP5-015,Armani Code Velvet Night,"Armani Code Velvet Night. Fresh, modern profile built for daily wear and special occasions.",123.00,158.00,27,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,drop5,mainstream,mainstream,armani"
ADDONLY-DROP5-016,Stronger With You Ignite,"Stronger With You Ignite. Fresh, modern profile built for daily wear and special occasions.",137.00,176.00,28,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,drop5,mainstream,mainstream,armani"
ADDONLY-DROP5-017,Coach For Men Onyx,"Coach For Men Onyx. Fresh, modern profile built for daily wear and special occasions.",105.00,139.00,29,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,drop5,mainstream,mainstream,coach"
ADDONLY-DROP5-018,Givenchy Gentleman Urban Spice,"Givenchy Gentleman Urban Spice. Fresh, modern profile built for daily wear and special occasions.",128.00,167.00,30,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,drop5,mainstream,mainstream,givenchy"
ADDONLY-DROP5-019,Issey Miyake Fusion Fresh,"Issey Miyake Fusion Fresh. Fresh, modern profile built for daily wear and special occasions.",101.00,134.00,12,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,drop5,mainstream,mainstream,issey-miyake"
ADDONLY-DROP5-020,Bvlgari Man Wood Essence Plus,"Bvlgari Man Wood Essence Plus. Fresh, modern profile built for daily wear and special occasions.",119.00,154.00,13,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,drop5,mainstream,mainstream,bvlgari"
ADDONLY-DROP5-021,Tom Ford Ombre Legacy,"Tom Ford Ombre Legacy. Fresh, modern profile built for daily wear and special occasions.",149.00,199.00,14,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,drop5,mainstream,mainstream,tom-ford"
ADDONLY-DROP5-022,Calvin Klein Eternity Edge,"Calvin Klein Eternity Edge. Fresh, modern profile built for daily wear and special occasions.",96.00,128.00,15,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,calvin-klein"
ADDONLY-DROP5-023,Nautica Voyage Night Drift,"Nautica Voyage Night Drift. Fresh, modern profile built for daily wear and special occasions.",69.00,95.00,16,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,nautica"
ADDONLY-DROP5-024,Davidoff Cool Water Deep,"Davidoff Cool Water Deep. Fresh, modern profile built for daily wear and special occasions.",74.00,99.00,17,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,davidoff"
ADDONLY-DROP5-025,Carolina Herrera Bad Boy Ignite,"Carolina Herrera Bad Boy Ignite. Fresh, modern profile built for daily wear and special occasions.",136.00,176.00,18,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,active,"cologne,men,drop5,mainstream,mainstream,carolina-herrera"
ADDONLY-DROP5-026,Atlas Cedar Extrait,"Atlas Cedar Extrait. Fresh, modern profile built for daily wear and special occasions.",118.00,156.00,19,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,woody"
ADDONLY-DROP5-027,Midnight Oud Reserve,"Midnight Oud Reserve. Fresh, modern profile built for daily wear and special occasions.",129.00,169.00,20,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,oud"
ADDONLY-DROP5-028,Saffron Vetiver Intense,"Saffron Vetiver Intense. Fresh, modern profile built for daily wear and special occasions.",121.00,160.00,21,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,spicy"
ADDONLY-DROP5-029,Marine Amber Parfum,"Marine Amber Parfum. Fresh, modern profile built for daily wear and special occasions.",115.00,151.00,22,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,drop5,niche,niche,aquatic"
ADDONLY-DROP5-030,Smoked Iris Absolute,"Smoked Iris Absolute. Fresh, modern profile built for daily wear and special occasions.",124.00,163.00,23,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,drop5,niche,niche,iris"
ADDONLY-DROP5-031,Velvet Tobacco Noir,"Velvet Tobacco Noir. Fresh, modern profile built for daily wear and special occasions.",133.00,175.00,24,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,drop5,niche,niche,tobacco"
ADDONLY-DROP5-032,Citrus Incense Elixir,"Citrus Incense Elixir. Fresh, modern profile built for daily wear and special occasions.",112.00,148.00,25,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,drop5,niche,niche,citrus"
ADDONLY-DROP5-033,Black Pepper Labdanum,"Black Pepper Labdanum. Fresh, modern profile built for daily wear and special occasions.",119.00,157.00,26,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,drop5,niche,niche,amber"
ADDONLY-DROP5-034,Tonka Moss Signature,"Tonka Moss Signature. Fresh, modern profile built for daily wear and special occasions.",108.00,142.00,27,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,drop5,niche,niche,tonka"
ADDONLY-DROP5-035,Sandalwood Rain Accord,"Sandalwood Rain Accord. Fresh, modern profile built for daily wear and special occasions.",116.00,153.00,28,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,drop5,niche,niche,sandalwood"
ADDONLY-DROP5-036,Juniper Leather Extract,"Juniper Leather Extract. Fresh, modern profile built for daily wear and special occasions.",127.00,166.00,29,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,leather"
ADDONLY-DROP5-037,Rose Oud Atelier,"Rose Oud Atelier. Fresh, modern profile built for daily wear and special occasions.",131.00,171.00,30,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,rose-oud"
ADDONLY-DROP5-038,Neroli Patchouli Project,"Neroli Patchouli Project. Fresh, modern profile built for daily wear and special occasions.",114.00,150.00,12,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,neroli"
ADDONLY-DROP5-039,Mineral Sage Formula,"Mineral Sage Formula. Fresh, modern profile built for daily wear and special occasions.",106.00,139.00,13,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,sage"
ADDONLY-DROP5-040,White Musk Mirage,"White Musk Mirage. Fresh, modern profile built for daily wear and special occasions.",111.00,146.00,14,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,musk"
ADDONLY-DROP5-041,Cardamom Cacao Blend,"Cardamom Cacao Blend. Fresh, modern profile built for daily wear and special occasions.",117.00,154.00,15,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,active,"cologne,men,drop5,niche,niche,gourmand"
