Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
set9-versace-eros-eau-de-toilette-travel-spray-10ml,Versace Eros Eau de Toilette - Travel Spray 10ml,"<p><strong>Versace Eros Eau de Toilette - Travel Spray 10ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",Versace,Cologne,"cologne,men,versace,set9,year-round,fresh-aromatic-woody",TRUE,Title,Default Title,SET9-VRS-001-232011,350,16,deny,manual,31.36,40.14,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,1,Versace Eros Eau de Toilette - Travel Spray 10ml product image 1,active
set9-versace-eros-eau-de-toilette-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg,2,Versace Eros Eau de Toilette - Travel Spray 10ml product image 2,
set9-versace-eros-eau-de-toilette-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg,3,Versace Eros Eau de Toilette - Travel Spray 10ml product image 3,
set9-versace-eros-eau-de-toilette-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg,4,Versace Eros Eau de Toilette - Travel Spray 10ml product image 4,
set9-versace-eros-eau-de-toilette-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,5,Versace Eros Eau de Toilette - Travel Spray 10ml product image 5,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-50ml,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml,"<p><strong>Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",Versace,Cologne,"cologne,men,versace,set9,year-round,fresh-aromatic-woody",TRUE,Title,Default Title,SET9-VRS-002-232011,350,22,deny,manual,84.00,107.52,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,1,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml product image 1,active
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg,2,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml product image 2,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg,3,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml product image 3,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg,4,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml product image 4,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,5,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 50ml product image 5,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-100ml,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml,"<p><strong>Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",Versace,Cologne,"cologne,men,versace,set9,year-round,fresh-aromatic-woody",TRUE,Title,Default Title,SET9-VRS-003-232011,350,30,deny,manual,112.00,143.36,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,1,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml product image 1,active
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg,2,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml product image 2,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg,3,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml product image 3,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg,4,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml product image 4,
set9-versace-eros-eau-de-toilette-eau-de-toilette-parfum-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,5,Versace Eros Eau de Toilette - Eau de Toilette / Parfum 100ml product image 5,
set9-versace-eros-eau-de-toilette-large-bottle-150ml,Versace Eros Eau de Toilette - Large Bottle 150ml,"<p><strong>Versace Eros Eau de Toilette - Large Bottle 150ml</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",Versace,Cologne,"cologne,men,versace,set9,year-round,fresh-aromatic-woody",TRUE,Title,Default Title,SET9-VRS-004-232011,350,18,deny,manual,140.00,179.20,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,1,Versace Eros Eau de Toilette - Large Bottle 150ml product image 1,active
set9-versace-eros-eau-de-toilette-large-bottle-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg,2,Versace Eros Eau de Toilette - Large Bottle 150ml product image 2,
set9-versace-eros-eau-de-toilette-large-bottle-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg,3,Versace Eros Eau de Toilette - Large Bottle 150ml product image 3,
set9-versace-eros-eau-de-toilette-large-bottle-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg,4,Versace Eros Eau de Toilette - Large Bottle 150ml product image 4,
set9-versace-eros-eau-de-toilette-large-bottle-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/232011.jpg,5,Versace Eros Eau de Toilette - Large Bottle 150ml product image 5,
set9-versace-eros-eau-de-toilette-gift-set,Versace Eros Eau de Toilette - Gift Set,"<p><strong>Versace Eros Eau de Toilette - Gift Set</strong> by Versace is built for <strong>year-round</strong> wear with a fresh aromatic woody profile.</p><p><strong>Fragrance notes:</strong> green apple, lemon, mint, tonka bean, cedar.</p><p>This listing is optimized for third-party resellers: high-search designer profile, gift-friendly packaging, and repeat-order demand.</p><p><strong>Supplier links:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Versace+Eros+Eau+de+Toilette"">FragranceNet</a> | <a href=""https://www.fragrancex.com/search/search_results?search=Versace+Eros+Eau+de+Toilette"">FragranceX</a> | <a href=""https://www.perfume.com/search?keyword=Versace+Eros+Eau+de+Toilette"">Perfume.com</a></p>",Versace,Cologne,"cologne,men,versace,set9,year-round,fresh-aromatic-woody",TRUE,Title,Default Title,SET9-VRS-005-232011,350,14,deny,manual,132.16,169.16,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/232011.jpg,1,Versace Eros Eau de Toilette - Gift Set product image 1,active
set9-versace-eros-eau-de-toilette-gift-set,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/232011.jpg,2,Versace Eros Eau de Toilette - Gift Set product image 2,
set9-versace-eros-eau-de-toilette-gift-set,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/232011.jpg,3,Versace Eros Eau de Toilette - Gift Set product image 3,
set9-versace-eros-eau-de-toilette-gift-set,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/232011.jpg,4,Versace Eros Eau de Toilette - Gift Set product image 4,
