SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
DIOR-SAUVAGE-100,Dior Sauvage EDP 100ml,"Dior Sauvage EDP 100ml is a fresh spicy woody men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for office, nights out, and signature daily wear. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",129.00,169.00,50,,active,"Dior,men,designer,fresh spicy woody,work,date,evening,year-round"
CHANEL-BLEUDECHANEL-100,Bleu de Chanel EDP 100ml,"Bleu de Chanel EDP 100ml is a woody aromatic citrus men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate sillage, making it dependable for professional settings, upscale dinners, and evening wear. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base....",142.00,189.00,50,,active,"Chanel,men,designer,woody aromatic citrus,work,date,evening,all-season"
VERSACE-EROS-100,Versace Eros EDT 100ml,"Versace Eros EDT 100ml is a aromatic fougere sweet men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8+ hours of wear with strong sillage, making it dependable for date nights, nightlife, and cooler weather. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes: Mint,...",96.00,129.00,50,,active,"Versace,men,designer,aromatic fougere sweet,date,evening,party,fall"
ARMANI-ADGPROFUMO-75,Acqua di Gio Profumo 75ml,"Acqua di Gio Profumo 75ml is a aquatic aromatic incense men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for business wear, warm-weather evenings, and formal events. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth...",149.00,199.00,50,,active,"Giorgio Armani,men,designer,aquatic aromatic incense,work,evening,summer,formal"
ARMANI-CODE-75,Armani Code Eau de Toilette 75ml,"Armani Code Eau de Toilette 75ml is a oriental spicy men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 6-8 hours of wear with moderate sillage, making it dependable for date nights, dinners, and nighttime occasions. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",95.00,125.00,50,,active,"Giorgio Armani,men,designer,oriental spicy,date,evening,fall,winter"
YSL-YEDP-100,Yves Saint Laurent Y EDP 100ml,"Yves Saint Laurent Y EDP 100ml is a aromatic woody fresh men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for daily use, office wear, and evening plans. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base....",128.00,169.00,50,,active,"Yves Saint Laurent,men,designer,aromatic woody fresh,work,date,daily,all-season"
PACORABANNE-1MILLION-100,Paco Rabanne 1 Million 100ml,"Paco Rabanne 1 Million 100ml is a woody spicy sweet men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8+ hours of wear with strong sillage, making it dependable for nightlife, dates, and social events. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes: Blood mandarin,...",104.00,139.00,50,,active,"Paco Rabanne,men,designer,woody spicy sweet,date,party,evening,fall"
JPG-LEMALE-125,Jean Paul Gaultier Le Male 125ml,"Jean Paul Gaultier Le Male 125ml is a oriental fougere men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8+ hours of wear with moderate to strong sillage, making it dependable for night out, cool-weather wear, and romantic settings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine...",108.00,145.00,50,,active,"Jean Paul Gaultier,men,designer,oriental fougere,date,evening,fall,winter"
VALENTINO-UOMOBORNINROMA-100,Valentino Uomo Born in Roma 100ml,"Valentino Uomo Born in Roma 100ml is a woody aromatic mineral men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for day-to-night wear, dates, and city evenings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top...",124.00,165.00,50,,active,"Valentino,men,designer,woody aromatic mineral,date,evening,work,all-season"
PRADA-LUNAROSSABLACK-100,Prada Luna Rossa Black 100ml,"Prada Luna Rossa Black 100ml is a amber woody men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for nighttime wear, cooler seasons, and intimate settings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base. Top notes:...",135.00,179.00,50,,active,"Prada,men,designer,amber woody,date,evening,fall,winter"
