SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
VALE-01-4596,Valentino Uomo Born In Roma Travel Spray 10ml,valentino-uomo-born-in-roma-travel-spray-10ml,Valentino Uomo Born In Roma in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,33.04,42.29,19,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-02-4596,Valentino Uomo Born In Roma 30ml,valentino-uomo-born-in-roma-30ml,Valentino Uomo Born In Roma in 30ml format. Fresh mainstream scent profile with strong customer demand.,61.36,78.54,24,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-03-4596,Valentino Uomo Born In Roma 50ml,valentino-uomo-born-in-roma-50ml,Valentino Uomo Born In Roma in 50ml format. Fresh mainstream scent profile with strong customer demand.,84.96,108.75,29,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-04-4596,Valentino Uomo Born In Roma 100ml,valentino-uomo-born-in-roma-100ml,Valentino Uomo Born In Roma in 100ml format. Fresh mainstream scent profile with strong customer demand.,118.00,151.04,36,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-05-4596,Valentino Uomo Born In Roma 150ml,valentino-uomo-born-in-roma-150ml,Valentino Uomo Born In Roma in 150ml format. Fresh mainstream scent profile with strong customer demand.,143.96,184.27,29,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-06-4596,Valentino Uomo Born In Roma 200ml,valentino-uomo-born-in-roma-200ml,Valentino Uomo Born In Roma in 200ml format. Fresh mainstream scent profile with strong customer demand.,167.56,214.48,22,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-07-4596,Valentino Uomo Born In Roma Gift Set,valentino-uomo-born-in-roma-gift-set,Valentino Uomo Born In Roma in gift set format. Fresh mainstream scent profile with strong customer demand.,135.70,173.70,14,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-08-4596,Valentino Uomo Born In Roma Holiday Box,valentino-uomo-born-in-roma-holiday-box,Valentino Uomo Born In Roma in holiday box format. Fresh mainstream scent profile with strong customer demand.,139.24,178.23,13,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-09-4596,Valentino Uomo Born In Roma Limited Edition,valentino-uomo-born-in-roma-limited-edition,Valentino Uomo Born In Roma in limited edition format. Fresh mainstream scent profile with strong customer demand.,127.44,163.12,12,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-10-4596,Valentino Uomo Born In Roma Refill,valentino-uomo-born-in-roma-refill,Valentino Uomo Born In Roma in refill format. Fresh mainstream scent profile with strong customer demand.,108.56,138.96,18,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-11-4596,Valentino Uomo Born In Roma Duo Pack,valentino-uomo-born-in-roma-duo-pack,Valentino Uomo Born In Roma in duo pack format. Fresh mainstream scent profile with strong customer demand.,194.70,249.22,13,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
VALE-12-4596,Valentino Uomo Born In Roma Collector Edition,valentino-uomo-born-in-roma-collector-edition,Valentino Uomo Born In Roma in collector edition format. Fresh mainstream scent profile with strong customer demand.,158.12,202.39,13,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,mainstream"
DIOR-01-8046,Dior Sauvage Eau Forte Travel Spray 10ml,dior-sauvage-eau-forte-travel-spray-10ml,Dior Sauvage Eau Forte in travel spray 10ml format. Fresh mainstream scent profile with strong customer demand.,36.12,46.23,19,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-02-8046,Dior Sauvage Eau Forte 30ml,dior-sauvage-eau-forte-30ml,Dior Sauvage Eau Forte in 30ml format. Fresh mainstream scent profile with strong customer demand.,67.08,85.86,24,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-03-8046,Dior Sauvage Eau Forte 50ml,dior-sauvage-eau-forte-50ml,Dior Sauvage Eau Forte in 50ml format. Fresh mainstream scent profile with strong customer demand.,92.88,118.89,29,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-04-8046,Dior Sauvage Eau Forte 100ml,dior-sauvage-eau-forte-100ml,Dior Sauvage Eau Forte in 100ml format. Fresh mainstream scent profile with strong customer demand.,129.00,165.12,36,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-05-8046,Dior Sauvage Eau Forte 150ml,dior-sauvage-eau-forte-150ml,Dior Sauvage Eau Forte in 150ml format. Fresh mainstream scent profile with strong customer demand.,157.38,201.45,29,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
DIOR-06-8046,Dior Sauvage Eau Forte 200ml,dior-sauvage-eau-forte-200ml,Dior Sauvage Eau Forte in 200ml format. Fresh mainstream scent profile with strong customer demand.,183.18,234.47,22,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,mainstream"
