SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
WATCH-CLASSIC-001,Classic Silver Watch,classic-silver-watch,"Elegant stainless steel watch with minimalist dial.",69.99,89.99,22,https://images.unsplash.com/photo-1523170335258-f5ed11844a49?w=1200,active,"watch,jewelry,men"
WATCH-GOLD-001,Gold Mesh Watch,gold-mesh-watch,"Gold-tone mesh strap watch for everyday style.",79.99,99.99,18,https://images.unsplash.com/photo-1434056886845-dac89ffe9b56?w=1200,active,"watch,jewelry,women"
WATCH-BLACK-001,Black Chrono Watch,black-chrono-watch,"Bold black chronograph watch with date display.",84.99,109.99,15,https://images.unsplash.com/photo-1547996160-81dfa63595aa?w=1200,active,"watch,chrono,men"
WATCH-ROSE-001,Rose Gold Watch,rose-gold-watch,"Rose gold finish watch with slim modern case.",74.99,94.99,20,https://images.unsplash.com/photo-1522312346375-d1a52e2b99b3?w=1200,active,"watch,jewelry,women"
RING-SILVER-001,Sterling Silver Ring,sterling-silver-ring,"Polished sterling silver ring with smooth band.",24.99,34.99,40,https://images.unsplash.com/photo-1603974372039-adc49044b6bd?w=1200,active,"ring,jewelry,silver"
RING-GOLD-001,Gold Twist Ring,gold-twist-ring,"Gold-plated twist ring, lightweight and stylish.",27.99,39.99,35,https://images.unsplash.com/photo-1611085583191-a3b181a88401?w=1200,active,"ring,jewelry,gold"
NECKLACE-PEARL-001,Pearl Pendant Necklace,pearl-pendant-necklace,"Delicate chain necklace with pearl pendant.",32.99,44.99,28,https://images.unsplash.com/photo-1617038220319-276d3cfab638?w=1200,active,"necklace,jewelry,pearl"
NECKLACE-LAYER-001,Layered Gold Necklace,layered-gold-necklace,"Two-layer gold necklace for a stacked look.",36.99,49.99,24,https://images.unsplash.com/photo-1599643478518-a784e5dc4c8f?w=1200,active,"necklace,jewelry,gold"
BRACELET-CUFF-001,Silver Cuff Bracelet,silver-cuff-bracelet,"Open-end silver cuff bracelet with clean design.",29.99,42.99,30,https://images.unsplash.com/photo-1611591437281-460bfbe1220a?w=1200,active,"bracelet,jewelry,silver"
BRACELET-CHARM-001,Charm Bracelet,charm-bracelet,"Adjustable charm bracelet with polished links.",26.99,37.99,32,https://images.unsplash.com/photo-1617038260897-41a1f14a3d2f?w=1200,active,"bracelet,jewelry,charm"
EARRING-HOOP-001,Classic Hoop Earrings,classic-hoop-earrings,"Lightweight hoop earrings with secure clasp.",21.99,29.99,45,https://images.unsplash.com/photo-1630019852942-f89202989a59?w=1200,active,"earrings,jewelry,hoops"
EARRING-STUD-001,Cubic Zirconia Studs,cubic-zirconia-studs,"Sparkling CZ stud earrings for daily wear.",18.99,25.99,50,https://images.unsplash.com/photo-1635767798638-3e25273a8236?w=1200,active,"earrings,jewelry,studs"
CHAIN-MEN-001,Men's Steel Chain,mens-steel-chain,"Durable stainless steel chain necklace.",34.99,47.99,27,https://images.unsplash.com/photo-1598532163257-ae3c6b2524b6?w=1200,active,"chain,jewelry,men"
ANKLET-GOLD-001,Gold Anklet,gold-anklet,"Simple gold-tone anklet with adjustable length.",19.99,27.99,33,https://images.unsplash.com/photo-1612177343582-665b9df4b50f?w=1200,active,"anklet,jewelry,women"
WATCH-SPORT-001,Sport Silicone Watch,sport-silicone-watch,"Water-resistant sport watch with silicone strap.",59.99,79.99,26,https://images.unsplash.com/photo-1508057198894-247b23fe5ade?w=1200,active,"watch,sport,unisex"
