Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,SEO Title,SEO Description,Status
dior-sauvage-edp-100ml,Dior Sauvage EDP 100ml,"<p>Dior Sauvage EDP 100ml is a fresh spicy woody men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for office, nights out, and signature daily wear. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Calabrian bergamot</li><li><strong>Middle notes:</strong> Sichuan pepper, star anise, nutmeg, lavender</li><li><strong>Base notes:</strong> Ambroxan, vanilla</li></ul><p>Best suited to office, nights out, and signature daily wear, this fragrance is aimed at men wanting a modern, versatile designer scent with bold freshness. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Dior,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Dior,men,designer,fresh spicy woody,work,date,evening,year-round",TRUE,Size,100ml,DIOR-SAUVAGE-100,500,shopify,50,deny,manual,129.00,169.00,TRUE,TRUE,,1,Dior Sauvage EDP 100ml cologne bottle - authentic designer fragrance,Buy Dior Sauvage EDP | Authentic | Dumbdollars,"Shop Dior Sauvage EDP 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
bleu-de-chanel-edp-100ml,Bleu de Chanel EDP 100ml,"<p>Bleu de Chanel EDP 100ml is a woody aromatic citrus men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate sillage, making it dependable for professional settings, upscale dinners, and evening wear. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Grapefruit, lemon, pink pepper</li><li><strong>Middle notes:</strong> Ginger, nutmeg, jasmine</li><li><strong>Base notes:</strong> Incense, cedar, sandalwood, patchouli, labdanum</li></ul><p>Best suited to professional settings, upscale dinners, and evening wear, this fragrance is aimed at men who prefer polished, refined fragrances with woody depth. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Chanel,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Chanel,men,designer,woody aromatic citrus,work,date,evening,all-season",TRUE,Size,100ml,CHANEL-BLEUDECHANEL-100,500,shopify,50,deny,manual,142.00,189.00,TRUE,TRUE,,1,Bleu de Chanel EDP 100ml cologne bottle - authentic designer fragrance,Buy Bleu de Chanel EDP | Authentic | Dumbdollars,"Shop Bleu de Chanel EDP 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
versace-eros-edt-100ml,Versace Eros EDT 100ml,"<p>Versace Eros EDT 100ml is a aromatic fougere sweet men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8+ hours of wear with strong sillage, making it dependable for date nights, nightlife, and cooler weather. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Mint, green apple, lemon</li><li><strong>Middle notes:</strong> Tonka bean, ambroxan, geranium</li><li><strong>Base notes:</strong> Vanilla, cedarwood, vetiver, oakmoss</li></ul><p>Best suited to date nights, nightlife, and cooler weather, this fragrance is aimed at men who like bold, attention-grabbing sweet-fresh scents. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Versace,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Versace,men,designer,aromatic fougere sweet,date,evening,party,fall",TRUE,Size,100ml,VERSACE-EROS-100,500,shopify,50,deny,manual,96.00,129.00,TRUE,TRUE,,1,Versace Eros EDT 100ml cologne bottle - authentic designer fragrance,Buy Versace Eros EDT | Authentic | Dumbdollars,"Shop Versace Eros EDT 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
acqua-di-gio-profumo-75ml,Acqua di Gio Profumo 75ml,"<p>Acqua di Gio Profumo 75ml is a aquatic aromatic incense men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for business wear, warm-weather evenings, and formal events. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Sea notes, bergamot</li><li><strong>Middle notes:</strong> Rosemary, sage, geranium</li><li><strong>Base notes:</strong> Incense, patchouli</li></ul><p>Best suited to business wear, warm-weather evenings, and formal events, this fragrance is aimed at men who want a marine scent with darker, elegant depth. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Giorgio Armani,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Giorgio Armani,men,designer,aquatic aromatic incense,work,evening,summer,formal",TRUE,Size,75ml,ARMANI-ADGPROFUMO-75,500,shopify,50,deny,manual,149.00,199.00,TRUE,TRUE,,1,Acqua di Gio Profumo 75ml cologne bottle - authentic designer fragrance,Buy Acqua di Gio Profumo | Authentic | Dumbdollars,"Shop Acqua di Gio Profumo 75ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
armani-code-eau-de-toilette-75ml,Armani Code Eau de Toilette 75ml,"<p>Armani Code Eau de Toilette 75ml is a oriental spicy men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 6-8 hours of wear with moderate sillage, making it dependable for date nights, dinners, and nighttime occasions. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Bergamot, lemon</li><li><strong>Middle notes:</strong> Olive blossom, star anise, guaiac wood</li><li><strong>Base notes:</strong> Tonka bean, leather, tobacco</li></ul><p>Best suited to date nights, dinners, and nighttime occasions, this fragrance is aimed at men seeking a smooth, seductive designer evening fragrance. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Giorgio Armani,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Giorgio Armani,men,designer,oriental spicy,date,evening,fall,winter",TRUE,Size,75ml,ARMANI-CODE-75,500,shopify,50,deny,manual,95.00,125.00,TRUE,TRUE,,1,Armani Code Eau de Toilette 75ml cologne bottle - authentic designer fragrance,Buy Armani Code Eau de Toilette | Authentic | Dumbdollars,"Shop Armani Code Eau de Toilette 75ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
yves-saint-laurent-y-edp-100ml,Yves Saint Laurent Y EDP 100ml,"<p>Yves Saint Laurent Y EDP 100ml is a aromatic woody fresh men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8-10 hours of wear with moderate to strong sillage, making it dependable for daily use, office wear, and evening plans. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Apple, bergamot, ginger</li><li><strong>Middle notes:</strong> Sage, juniper berries, geranium</li><li><strong>Base notes:</strong> Amberwood, tonka bean, cedar, vetiver, olibanum</li></ul><p>Best suited to daily use, office wear, and evening plans, this fragrance is aimed at men wanting a clean yet powerful signature scent. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Yves Saint Laurent,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Yves Saint Laurent,men,designer,aromatic woody fresh,work,date,daily,all-season",TRUE,Size,100ml,YSL-YEDP-100,500,shopify,50,deny,manual,128.00,169.00,TRUE,TRUE,,1,Yves Saint Laurent Y EDP 100ml cologne bottle - authentic designer fragrance,Buy Yves Saint Laurent Y EDP | Authentic | Dumbdollars,"Shop Yves Saint Laurent Y EDP 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
paco-rabanne-1-million-100ml,Paco Rabanne 1 Million 100ml,"<p>Paco Rabanne 1 Million 100ml is a woody spicy sweet men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8+ hours of wear with strong sillage, making it dependable for nightlife, dates, and social events. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Blood mandarin, grapefruit, mint</li><li><strong>Middle notes:</strong> Cinnamon, rose, spicy notes</li><li><strong>Base notes:</strong> Leather, amber, patchouli, woody notes</li></ul><p>Best suited to nightlife, dates, and social events, this fragrance is aimed at men who enjoy bold sweet-spicy scents with strong projection. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Paco Rabanne,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Paco Rabanne,men,designer,woody spicy sweet,date,party,evening,fall",TRUE,Size,100ml,PACORABANNE-1MILLION-100,500,shopify,50,deny,manual,104.00,139.00,TRUE,TRUE,,1,Paco Rabanne 1 Million 100ml cologne bottle - authentic designer fragrance,Buy Paco Rabanne 1 Million | Authentic | Dumbdollars,"Shop Paco Rabanne 1 Million 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
jean-paul-gaultier-le-male-125ml,Jean Paul Gaultier Le Male 125ml,"<p>Jean Paul Gaultier Le Male 125ml is a oriental fougere men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 8+ hours of wear with moderate to strong sillage, making it dependable for night out, cool-weather wear, and romantic settings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Mint, lavender, bergamot, cardamom, artemisia</li><li><strong>Middle notes:</strong> Cinnamon, orange blossom, caraway</li><li><strong>Base notes:</strong> Vanilla, tonka bean, amber, sandalwood, cedar</li></ul><p>Best suited to night out, cool-weather wear, and romantic settings, this fragrance is aimed at men who like classic masculine scents with sweet warmth. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Jean Paul Gaultier,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Jean Paul Gaultier,men,designer,oriental fougere,date,evening,fall,winter",TRUE,Size,125ml,JPG-LEMALE-125,500,shopify,50,deny,manual,108.00,145.00,TRUE,TRUE,,1,Jean Paul Gaultier Le Male 125ml cologne bottle - authentic designer fragrance,Buy Jean Paul Gaultier Le Male | Authentic | Dumbdollars,"Shop Jean Paul Gaultier Le Male 125ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
valentino-uomo-born-in-roma-100ml,Valentino Uomo Born in Roma 100ml,"<p>Valentino Uomo Born in Roma 100ml is a woody aromatic mineral men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for day-to-night wear, dates, and city evenings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Mineral notes, violet leaf, salt</li><li><strong>Middle notes:</strong> Ginger, sage</li><li><strong>Base notes:</strong> Vetiver, woody notes</li></ul><p>Best suited to day-to-night wear, dates, and city evenings, this fragrance is aimed at men who want a modern woody scent with clean mineral freshness. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Valentino,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Cologne,"Valentino,men,designer,woody aromatic mineral,date,evening,work,all-season",TRUE,Size,100ml,VALENTINO-UOMOBORNINROMA-100,500,shopify,50,deny,manual,124.00,165.00,TRUE,TRUE,,1,Valentino Uomo Born in Roma 100ml cologne bottle - authentic designer fragrance,Buy Valentino Uomo Born in Roma | Authentic | Dumbdollars,"Shop Valentino Uomo Born in Roma 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
prada-luna-rossa-black-100ml,Prada Luna Rossa Black 100ml,"<p>Prada Luna Rossa Black 100ml is a amber woody men's fragrance built around a refined designer profile that remains highly wearable. It typically delivers 7-9 hours of wear with moderate sillage, making it dependable for nighttime wear, cooler seasons, and intimate settings. The composition opens with bright character, develops into a textured aromatic heart, and finishes with a smooth masculine base.</p><ul><li><strong>Top notes:</strong> Bergamot</li><li><strong>Middle notes:</strong> Angelica, patchouli, coumarin</li><li><strong>Base notes:</strong> Amber, musk</li></ul><p>Best suited to nighttime wear, cooler seasons, and intimate settings, this fragrance is aimed at men seeking a smooth, dark amber designer fragrance. It is a strong option for customers who want authentic designer quality with reliable performance in a dropship catalog.</p>",Prada,Health & Beauty > Personal Care > Cosmetics > Perfume & Cologne,Eau de Parfum,"Prada,men,designer,amber woody,date,evening,fall,winter",TRUE,Size,100ml,PRADA-LUNAROSSABLACK-100,500,shopify,50,deny,manual,135.00,179.00,TRUE,TRUE,,1,Prada Luna Rossa Black 100ml cologne bottle - authentic designer fragrance,Buy Prada Luna Rossa Black | Authentic | Dumbdollars,"Shop Prada Luna Rossa Black 100ml for authentic designer scent performance, long-lasting wear, and confident all-day projection for modern men.",active
