SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
GTSHIRT-00001,Performance Golf T-Shirt Classic Fit Black 001,performance-golf-t-shirt-classic-fit-black-001,Performance golf t-shirt in black with classic fit comfort for everyday rounds.,21.24,27.61,16,https://picsum.photos/seed/gtshirt-00001/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00002,Breathable Golf T-Shirt Athletic Fit White 002,breathable-golf-t-shirt-athletic-fit-white-002,Breathable golf t-shirt in white with athletic fit comfort for everyday rounds.,22.49,29.24,17,https://picsum.photos/seed/gtshirt-00002/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00003,Moisture-Wick Golf T-Shirt Relaxed Fit Navy 003,moisture-wick-golf-t-shirt-relaxed-fit-navy-003,Moisture-Wick golf t-shirt in navy with relaxed fit comfort for everyday rounds.,23.74,30.86,18,https://picsum.photos/seed/gtshirt-00003/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00004,Premium Cotton Golf T-Shirt Slim Fit Gray 004,premium-cotton-golf-t-shirt-slim-fit-gray-004,Premium Cotton golf t-shirt in gray with slim fit comfort for everyday rounds.,24.99,32.49,19,https://picsum.photos/seed/gtshirt-00004/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00005,Lightweight Golf T-Shirt Classic Fit Green 005,lightweight-golf-t-shirt-classic-fit-green-005,Lightweight golf t-shirt in green with classic fit comfort for everyday rounds.,26.24,34.11,20,https://picsum.photos/seed/gtshirt-00005/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00006,Performance Golf T-Shirt Athletic Fit Blue 006,performance-golf-t-shirt-athletic-fit-blue-006,Performance golf t-shirt in blue with athletic fit comfort for everyday rounds.,27.49,35.74,21,https://picsum.photos/seed/gtshirt-00006/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00007,Breathable Golf T-Shirt Relaxed Fit Red 007,breathable-golf-t-shirt-relaxed-fit-red-007,Breathable golf t-shirt in red with relaxed fit comfort for everyday rounds.,28.74,37.36,22,https://picsum.photos/seed/gtshirt-00007/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00008,Moisture-Wick Golf T-Shirt Slim Fit Sand 008,moisture-wick-golf-t-shirt-slim-fit-sand-008,Moisture-Wick golf t-shirt in sand with slim fit comfort for everyday rounds.,29.99,38.99,23,https://picsum.photos/seed/gtshirt-00008/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00009,Premium Cotton Golf T-Shirt Classic Fit Black 009,premium-cotton-golf-t-shirt-classic-fit-black-009,Premium Cotton golf t-shirt in black with classic fit comfort for everyday rounds.,31.24,40.61,24,https://picsum.photos/seed/gtshirt-00009/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00010,Lightweight Golf T-Shirt Athletic Fit White 010,lightweight-golf-t-shirt-athletic-fit-white-010,Lightweight golf t-shirt in white with athletic fit comfort for everyday rounds.,32.49,42.24,25,https://picsum.photos/seed/gtshirt-00010/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00011,Performance Golf T-Shirt Relaxed Fit Navy 011,performance-golf-t-shirt-relaxed-fit-navy-011,Performance golf t-shirt in navy with relaxed fit comfort for everyday rounds.,33.74,43.86,26,https://picsum.photos/seed/gtshirt-00011/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
GTSHIRT-00012,Breathable Golf T-Shirt Slim Fit Gray 012,breathable-golf-t-shirt-slim-fit-gray-012,Breathable golf t-shirt in gray with slim fit comfort for everyday rounds.,34.99,45.49,27,https://picsum.photos/seed/gtshirt-00012/1200/1200,active,"golf,tshirt,apparel,golf-shirt"
