Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
drop2-valentino-uomo-noir-edition,Valentino Uomo Noir Edition Set,<p>Valentino Uomo Noir Edition Set with a clean modern scent profile. Limited drop release.</p>,Valentino,Cologne Gift Set,"cologne,men,valentino,drop2",TRUE,Title,Default Title,DROP2-VAL-001,350,20,deny,manual,129.00,169.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Noir Edition Set image 1,active
drop2-valentino-uomo-noir-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Valentino Uomo Noir Edition Set image 2,
drop2-valentino-uomo-noir-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Valentino Uomo Noir Edition Set image 3,
drop2-valentino-uomo-noir-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Valentino Uomo Noir Edition Set image 4,
drop2-valentino-uomo-noir-edition,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Valentino Uomo Noir Edition Set image 5,
drop2-dior-sauvage-signature-kit,Dior Sauvage Signature Kit,<p>Dior Sauvage Signature Kit with a clean modern scent profile. Limited drop release.</p>,Dior,Cologne Gift Set,"cologne,men,dior,drop2",TRUE,Title,Default Title,DROP2-DIO-002,350,21,deny,manual,139.00,179.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,1,Dior Sauvage Signature Kit image 1,active
drop2-dior-sauvage-signature-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1717154462649-e0c67fa0f556?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=harper-sunday-mtCh6Ny8LaU-unsplash.jpg&w=1400,2,Dior Sauvage Signature Kit image 2,
drop2-dior-sauvage-signature-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1712995518948-93c10327836b?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=laura-chouette--bNjKyrm9CM-unsplash.jpg&w=1400,3,Dior Sauvage Signature Kit image 3,
drop2-dior-sauvage-signature-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1768025719875-48ed072f3084?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tuaans-xsS6wfjFTcw-unsplash.jpg&w=1400,4,Dior Sauvage Signature Kit image 4,
drop2-dior-sauvage-signature-kit,,,,,,,,,,,,,,,,,,https://images.unsplash.com/photo-1669200141274-38ae8632a86a?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sticker-it-XlacyI9_9DI-unsplash.jpg&w=1400,5,Dior Sauvage Signature Kit image 5,
drop2-ysl-y-city-edition,Y Eau de Parfum City Edition,<p>Y Eau de Parfum City Edition with a clean modern scent profile. Limited drop release.</p>,Yves Saint Laurent,Cologne,"cologne,men,ysl,drop2",TRUE,Title,Default Title,DROP2-YSL-003,350,22,deny,manual,132.00,168.00,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,1,Y Eau de Parfum City Edition image 1,active
