Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
valentino-uomo-born-in-roma-travel-spray-10ml,Valentino Uomo Born In Roma Travel Spray 10ml,"<p><strong>Valentino Uomo Born In Roma Travel Spray 10ml</strong> by Valentino is a top-selling mainstream cologne.</p><p>Clean, crowd-pleasing scent profile with strong repeat demand. Great for daily wear, nights out, and gifting.</p><p><strong>Third-party sourcing:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+Travel+Spray+10ml"">Check supplier listing</a>.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8REAL-001-VALE-01-4596,350,19,deny,manual,33.04,42.29,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma Travel Spray 10ml product image 1,active
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/353183.jpg,2,Valentino Uomo Born In Roma Travel Spray 10ml product image 2,
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/353183.jpg,3,Valentino Uomo Born In Roma Travel Spray 10ml product image 3,
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/353183.jpg,4,Valentino Uomo Born In Roma Travel Spray 10ml product image 4,
valentino-uomo-born-in-roma-travel-spray-10ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/353183.jpg,5,Valentino Uomo Born In Roma Travel Spray 10ml product image 5,
valentino-uomo-born-in-roma-30ml,Valentino Uomo Born In Roma 30ml,"<p><strong>Valentino Uomo Born In Roma 30ml</strong> by Valentino is a top-selling mainstream cologne.</p><p>Clean, crowd-pleasing scent profile with strong repeat demand. Great for daily wear, nights out, and gifting.</p><p><strong>Third-party sourcing:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+30ml"">Check supplier listing</a>.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8REAL-002-VALE-02-4596,350,24,deny,manual,61.36,78.54,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 30ml product image 1,active
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/353183.jpg,2,Valentino Uomo Born In Roma 30ml product image 2,
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/353183.jpg,3,Valentino Uomo Born In Roma 30ml product image 3,
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/353183.jpg,4,Valentino Uomo Born In Roma 30ml product image 4,
valentino-uomo-born-in-roma-30ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/353183.jpg,5,Valentino Uomo Born In Roma 30ml product image 5,
valentino-uomo-born-in-roma-50ml,Valentino Uomo Born In Roma 50ml,"<p><strong>Valentino Uomo Born In Roma 50ml</strong> by Valentino is a top-selling mainstream cologne.</p><p>Clean, crowd-pleasing scent profile with strong repeat demand. Great for daily wear, nights out, and gifting.</p><p><strong>Third-party sourcing:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+50ml"">Check supplier listing</a>.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8REAL-003-VALE-03-4596,350,29,deny,manual,84.96,108.75,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 50ml product image 1,active
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/353183.jpg,2,Valentino Uomo Born In Roma 50ml product image 2,
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/353183.jpg,3,Valentino Uomo Born In Roma 50ml product image 3,
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/353183.jpg,4,Valentino Uomo Born In Roma 50ml product image 4,
valentino-uomo-born-in-roma-50ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/353183.jpg,5,Valentino Uomo Born In Roma 50ml product image 5,
valentino-uomo-born-in-roma-100ml,Valentino Uomo Born In Roma 100ml,"<p><strong>Valentino Uomo Born In Roma 100ml</strong> by Valentino is a top-selling mainstream cologne.</p><p>Clean, crowd-pleasing scent profile with strong repeat demand. Great for daily wear, nights out, and gifting.</p><p><strong>Third-party sourcing:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+100ml"">Check supplier listing</a>.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8REAL-004-VALE-04-4596,350,36,deny,manual,118.00,151.04,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 100ml product image 1,active
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/353183.jpg,2,Valentino Uomo Born In Roma 100ml product image 2,
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/353183.jpg,3,Valentino Uomo Born In Roma 100ml product image 3,
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/353183.jpg,4,Valentino Uomo Born In Roma 100ml product image 4,
valentino-uomo-born-in-roma-100ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/353183.jpg,5,Valentino Uomo Born In Roma 100ml product image 5,
valentino-uomo-born-in-roma-150ml,Valentino Uomo Born In Roma 150ml,"<p><strong>Valentino Uomo Born In Roma 150ml</strong> by Valentino is a top-selling mainstream cologne.</p><p>Clean, crowd-pleasing scent profile with strong repeat demand. Great for daily wear, nights out, and gifting.</p><p><strong>Third-party sourcing:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+150ml"">Check supplier listing</a>.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8REAL-005-VALE-05-4596,350,29,deny,manual,143.96,184.27,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 150ml product image 1,active
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/353183.jpg,2,Valentino Uomo Born In Roma 150ml product image 2,
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/353183.jpg,3,Valentino Uomo Born In Roma 150ml product image 3,
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/353183.jpg,4,Valentino Uomo Born In Roma 150ml product image 4,
valentino-uomo-born-in-roma-150ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/250x250/353183.jpg,5,Valentino Uomo Born In Roma 150ml product image 5,
valentino-uomo-born-in-roma-200ml,Valentino Uomo Born In Roma 200ml,"<p><strong>Valentino Uomo Born In Roma 200ml</strong> by Valentino is a top-selling mainstream cologne.</p><p>Clean, crowd-pleasing scent profile with strong repeat demand. Great for daily wear, nights out, and gifting.</p><p><strong>Third-party sourcing:</strong> <a href=""https://www.fragrancenet.com/search/?gsearch=Valentino+Uomo+Born+In+Roma+200ml"">Check supplier listing</a>.</p>",Valentino,Cologne,"cologne,men,valentino,mainstream",TRUE,Title,Default Title,DROP8REAL-006-VALE-06-4596,350,22,deny,manual,167.56,214.48,TRUE,TRUE,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,1,Valentino Uomo Born In Roma 200ml product image 1,active
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/600x600/353183.jpg,2,Valentino Uomo Born In Roma 200ml product image 2,
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/500x500/353183.jpg,3,Valentino Uomo Born In Roma 200ml product image 3,
valentino-uomo-born-in-roma-200ml,,,,,,,,,,,,,,,,,,https://cdn.fragrancenet.com/images/photos/300x300/353183.jpg,4,Valentino Uomo Born In Roma 200ml product image 4,
