SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Additional image URLs,Status,Tags,Vendor,Product type,Requires shipping,Weight (lb),Shipping details,Source URL
ADDONLY-SB-DROP7-001-785225,Cordless Magic Clip,"Equipped with taper lever for fading and blending Stagger-tooth crunch blade 120V Wahl Magic Cord/cordless clipper is equipped with a taper lever for easy fading, blending and tapering. Stagger-tooth crunch blade allows for better feeding of curly, coarse hair. The lightweight and sleek ergonomic design allows the Lithium-Ion cord/cordless clipper to run with a 90+ minute run time. Clipper and Trimmer Sales are Final* Brand: Wahl. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/cordless-magic-clip/SBS-785225.html",159.99,199.99,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0f0bfd8a/images/large/SBS-785225-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0f0bfd8a/images/large/SBS-785225-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw36292ee5/images/large/SBS-785225-7.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw36292ee5/images/large/SBS-785225-7.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw5906a22c/images/large/SBS-785225-4.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,barber-supplies-clippers-beard-trimmers",Wahl,Barber Supplies / Clippers & Beard Trimmers,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/cordless-magic-clip/SBS-785225.html
ADDONLY-SB-DROP7-002-008820,GOLDFX Clipper,"Includes 8 Comb Attachments #.5 -1/16"""" (1.5mm), #1-1/8"""" (3mm), #1.5 -3/16"""" (4.8mm), #2-1/4"""" (6mm), #3-3/8"""" (10mm), #4-1/2"""" (13mm), #5 -5/8"""" (16mm), #6-3/4"""" (19mm) Lithium Ion Battery 2-Hour Cordless Runtime All- Metal Housing/ Knurled Barbell Grip High Torque, Brushless Motor Cord/Cordless – Dual Voltage Carbon Stainless Steel Blade 5-Detent Taper Control Detent Hanging Hook GOLDFX is a cord/cordless lithium clipper, equipped with a high torque brushless motor. A perfect tool for cutting all hair textures with power, speed and precision. Clipper and Trimmer Sales are Final* Brand: BaBylissPRO GOLDFX. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/hair-clippers/goldfx-clipper/SBS-008820.html",259.99,324.99,270,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwae1da903/images/large/SBS-008820-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwae1da903/images/large/SBS-008820-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc1213bc8/images/large/SBS-008820.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc1213bc8/images/large/SBS-008820.png?sw=650&sh=650,active,"sallybeauty,drop7,clippers-beard-trimmers-hair-clippers",BaBylissPRO GOLDFX,Clippers & Beard Trimmers / Hair Clippers,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/hair-clippers/goldfx-clipper/SBS-008820.html
ADDONLY-SB-DROP7-003-345333,Silver Metals Cordless Metal Double Foil Shaver,"Cordless/Up to 5-Hour Runtime (AA Batteries included) Includes Storage Pouch Powerful Rotary Motor Auto Cover Shut-Off Metal Housing Professional, full-size metal foil shaver equipped with a powerful rotary motor. A great tool for an extra-close shave on the neck, face, and all around the hairline. Replacement Blade for FXFS1 Clipper and Trimmer Sales are Final* Brand: BaBylissPRO. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/silver-metals-cordless-metal-double-foil-shaver/SBS-345333.html",169.99,212.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0063b798/images/large/SBS-345333-4.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0063b798/images/large/SBS-345333-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2d3a12fb/images/large/SBS-345333-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2d3a12fb/images/large/SBS-345333-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw319e00fb/images/large/SBS-345333-1.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,barber-supplies-clippers-beard-trimmers",BaBylissPRO,Barber Supplies / Clippers & Beard Trimmers,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/silver-metals-cordless-metal-double-foil-shaver/SBS-345333.html
ADDONLY-SB-DROP7-004-395010,T-Outliner T-Blade Trimmer,"Ribbed, contoured housing fits comfortably in your hand Perfect for all-around outlining, dry shaving and fading High-speed magnetic motor runs cool and quiet Selecting the Andis T-Outliner trimmer, part of the original Outliner series, means you’re part of an elite group of professionals that have selected a classic. Nothing else compares. This iconic trimmer is perfect for all-around outlining, dry shaving and fading. The powerful, high-speed magnetic motor runs cool and quiet. Ribbed, contoured housing fits comfortably in your hand, and the ergonomic switch button is easy to use. Includes: • Close-cutting, carbon-steel t-blade, specially hardened for long cutting life • Heavy-duty, 8-foot cord with hanger loop • Blade oil Clipper and Trimmer Sales are Final* Brand: Andis. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/t-outliner-t-blade-trimmer/SBS-395010.html",89.99,112.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw024cd2f0/images/large/SBS-395010-3.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw024cd2f0/images/large/SBS-395010-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw344c9168/images/large/SBS-395010-6.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw344c9168/images/large/SBS-395010-6.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw35797a79/images/large/SBS-395010.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,barber-supplies-clippers-beard-trimmers",Andis,Barber Supplies / Clippers & Beard Trimmers,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-care-accessories-and-styling-products/barber-supplies/clippers-and-beard-trimmers/t-outliner-t-blade-trimmer/SBS-395010.html
ADDONLY-SB-DROP7-005-345331,Silver Metals Cordless Clipper,"Includes 8 Comb Attachments #.5 -1/16"""" (1.5mm), #1-1/8"""" (3mm), #1.5 -3/16"""" (4.8mm), #2-1/4"""" (6mm), #3-3/8"""" (10mm), #4-1/2"""" (13mm), #5 -5/8"""" (16mm), #6-3/4"""" (19mm) High Torque, Brushless Motor Engine Lithium Ion Battery 2-Hour Cordless Run time All- Metal Housing/ Knurled Barbell Grip Cord/Cordless – Dual Voltage Carbon Stainless Steel Blade 5-Detent Taper Control Detent Hanging Hook Silver Metals Cordless Clipper is a cord/cordless lithium clipper, equipped with a high torque brushless engine. A perfect tool for cutting all hair textures with power, speed and precision. Clipper and Trimmer Sales are Final* Brand: BaBylissPRO. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-care/hair-styling-tools/hair-clippers-and-trimmers/silver-metals-cordless-clipper/SBS-345331.html",259.99,324.99,83,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2de699a9/images/large/SBS-345331-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2de699a9/images/large/SBS-345331-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwfaca9840/images/large/SBS-345331.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwfaca9840/images/large/SBS-345331.png?sw=650&sh=650,active,"sallybeauty,drop7,hair-styling-tools-hair-clippers-trimmers",BaBylissPRO,Hair Styling Tools / Hair Clippers & Trimmers,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-care/hair-styling-tools/hair-clippers-and-trimmers/silver-metals-cordless-clipper/SBS-345331.html
ADDONLY-SB-DROP7-006-500264,Soft Auburn Permanent Creme Hair Color,"Developed to lift dark hair in one single step, without brassiness Rich, smooth creme formula conditions and penetrates hair Breakthrough technology lifts hair 3-4 levels Intense, long-lasting color L'Oreal Excellence HiColor Permanent Hair Color is the first permanent hair color specifically created for dark hair (black to medium brown). Specifically developed to lift dark hair in one single step, without brassiness. This breakthrough technology lifts hair 3-4 levels. A strong lifting and toning action neutralizes unwanted orange tones, then deposits the shade of your choice. L'Oreal Excellence HiColor Permanent Hair Color's rich, smooth creme formula conditions and penetrates hair for intense, long-lasting color. True-to-shade color resists fading and has a quick processing time of only thirty minutes. No pre-lightening required. The end result is intense, long-lasting color. L’Oreal Help Line: (800) 345-5014. 9AM - 5PM EST, Monday-Friday Brand: L'Oreal Technique Excellence. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/auburn-hair-color/soft-auburn-permanent-creme-hair-color/SBS-500264.html",13.19,16.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw18d50d27/images/large/SBS-500264-4.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw18d50d27/images/large/SBS-500264-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwb2ac0724/images/large/SBS-500264-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwb2ac0724/images/large/SBS-500264-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwc7b6ecc7/images/large/SBS-500264-3.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,red-hair-color-auburn-hair-color",L'Oreal Technique Excellence,Red Hair Color / Auburn Hair Color,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/auburn-hair-color/soft-auburn-permanent-creme-hair-color/SBS-500264.html
ADDONLY-SB-DROP7-007-500243,HiColor Red HiLights Copper Permanent Creme Hair Color,"For highly-visible, intense red highlights even on dark hair, without brassiness Breakthrough technology lifts hair 3-4 levels, no pre-lightening required Rich, no-drip creme makes it easy for control of creative techniques Quick processing time of only thirty minutes True-to-shade color that resists fading Available in three Hi-lift Red shades NEW HiColor RED HiLights by L'Oreal Excellence is the first highlighting series formulated for dark hair. Rich, no-drip creme makes it easy for control of creative techniques . True-to-shade color that resists fading. L'Oreal Excellence HiColor Red HiLights is available in Magenta, Red, Copper Red and Copper. L’Oreal Help Line: (800) 345-5014. 9AM - 5PM EST, Monday-Friday Brand: L'Oreal Technique Excellence. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-copper-permanent-creme-hair-color/SBS-500243.html",13.19,16.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw10841dca/images/large/SBS-500243-3.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw10841dca/images/large/SBS-500243-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw56598b07/images/large/SBS-500243-1.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw56598b07/images/large/SBS-500243-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dwa06df14d/images/large/SBS-500243.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,shop-by-color-red-hair-color",L'Oreal Technique Excellence,Shop by Color / Red Hair Color,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-copper-permanent-creme-hair-color/SBS-500243.html
ADDONLY-SB-DROP7-008-500240,HiColor Red HiLights Magenta Permanent Creme Hair Color,"For highly-visible, intense red highlights even on dark hair, without brassiness Breakthrough technology lifts hair 3-4 levels, no pre-lightening required Rich, no-drip creme makes it easy for control of creative techniques Quick processing time of only thirty minutes True-to-shade color that resists fading Available in three Hi-lift Red shades NEW HiColor RED HiLights by L'Oreal Excellence is the first highlighting series formulated for dark hair. Rich, no-drip creme makes it easy for control of creative techniques . True-to-shade color that resists fading. L'Oreal Excellence HiColor Red HiLights is available in Magenta, Red, Copper Red and Copper. L’Oreal Help Line: (800) 345-5014. 9AM - 5PM EST, Monday-Friday Brand: L'Oreal Technique Excellence. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-magenta-permanent-creme-hair-color/SBS-500240.html",13.19,16.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3923bd4e/images/large/SBS-500240.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3923bd4e/images/large/SBS-500240.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3b83c5eb/images/large/SBS-500240-1.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3b83c5eb/images/large/SBS-500240-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw4ef66559/images/large/SBS-500240-4.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,shop-by-color-red-hair-color",L'Oreal Technique Excellence,Shop by Color / Red Hair Color,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-magenta-permanent-creme-hair-color/SBS-500240.html
ADDONLY-SB-DROP7-009-500241,HiColor Red HiLights Red Permanent Creme Hair Color,"For highly-visible, intense red highlights even on dark hair, without brassiness Breakthrough technology lifts hair 3-4 levels, no pre-lightening required Rich, no-drip creme makes it easy for control of creative techniques Quick processing time of only thirty minutes True-to-shade color that resists fading Available in three Hi-lift Red shades NEW HiColor RED HiLights by L'Oreal Excellence is the first highlighting series formulated for dark hair. Rich, no-drip creme makes it easy for control of creative techniques . True-to-shade color that resists fading. L'Oreal Excellence HiColor Red HiLights is available in Magenta, Red, Copper Red and Copper. L’Oreal Help Line: (800) 345-5014. 9AM - 5PM EST, Monday-Friday Brand: L'Oreal Technique Excellence. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-red-permanent-creme-hair-color/SBS-500241.html",13.19,16.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0ecb1d81/images/large/SBS-500241-3.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw0ecb1d81/images/large/SBS-500241-3.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2c22628f/images/large/SBS-500241-4.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw2c22628f/images/large/SBS-500241-4.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw36994c2b/images/large/SBS-500241-2.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,shop-by-color-red-hair-color",L'Oreal Technique Excellence,Shop by Color / Red Hair Color,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/hicolor-red-hilights-red-permanent-creme-hair-color/SBS-500241.html
ADDONLY-SB-DROP7-010-500268,Sizzling Copper Permanent Creme Hair Color,"Developed to lift dark hair in one single step, without brassiness Rich, smooth creme formula conditions and penetrates hair Breakthrough technology lifts hair 3-4 levels Intense, long-lasting color L'Oreal Excellence HiColor Permanent Hair Color is the first permanent hair color specifically created for dark hair (black to medium brown). Specifically developed to lift dark hair in one single step, without brassiness. This breakthrough technology lifts hair 3-4 levels. A strong lifting and toning action neutralizes unwanted orange tones, then deposits the shade of your choice. L'Oreal Excellence HiColor Permanent Hair Color's rich, smooth creme formula conditions and penetrates hair for intense, long-lasting color. True-to-shade color resists fading and has a quick processing time of only thirty minutes. No pre-lightening required. The end result is intense, long-lasting color. L’Oreal Help Line: (800) 345-5014. 9AM - 5PM EST, Monday-Friday Brand: L'Oreal Technique Excellence. Shipping: Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout. Source: https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/sizzling-copper-permanent-creme-hair-color/SBS-500268.html",13.19,16.49,500,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw223906c5/images/large/SBS-500268-1.jpg?sw=750&sh=750&sfrm=png,https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw223906c5/images/large/SBS-500268-1.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw24d51627/images/large/SBS-500268-2.jpg?sw=750&sh=750&sfrm=png | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw24d51627/images/large/SBS-500268-2.png?sw=650&sh=650 | https://www.sallybeauty.com/dw/image/v2/BCSM_PRD/on/demandware.static/-/Sites-SBS-SallyBeautySupply/default/dw3044ef9e/images/large/SBS-500268-3.jpg?sw=750&sh=750&sfrm=png,active,"sallybeauty,drop7,shop-by-color-red-hair-color",L'Oreal Technique Excellence,Shop by Color / Red Hair Color,TRUE,,Requires shipping: Yes; Ship-to-home eligible: Yes; Hazmat restriction: No; carrier-calculated shipping at checkout.,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/sizzling-copper-permanent-creme-hair-color/SBS-500268.html
