SKU,Title,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
ADDONLY-DROP4-001,Valentino Uomo Street Edition,Mainstream men's cologne with clean day-to-night profile.,131.0,171.0,25,https://cdn.fragrancenet.com/images/photos/900x900/353183.jpg,active,"cologne,men,valentino,drop4"
ADDONLY-DROP4-002,Dior Sauvage Horizon Edition,Bold modern scent with strong mainstream appeal.,142.0,182.0,22,https://cdn.fragrancenet.com/images/photos/900x900/500543.jpg,active,"cologne,men,dior,drop4"
ADDONLY-DROP4-003,Y Eau de Parfum Night Blue,Fresh woody fragrance built for everyday wear.,128.0,168.0,21,https://cdn.fragrancenet.com/images/photos/900x900/325122.jpg,active,"cologne,men,ysl,drop4"
ADDONLY-DROP4-004,Acqua di Gio Ocean Breeze,Classic aquatic cologne style with broad demand.,111.0,149.0,30,https://cdn.fragrancenet.com/images/photos/900x900/126343.jpg,active,"cologne,men,armani,drop4"
ADDONLY-DROP4-005,Armani Code Gold Label,Warm spicy profile for evening and events.,121.0,159.0,18,https://cdn.fragrancenet.com/images/photos/900x900/461902.jpg,active,"cologne,men,armani,drop4"
ADDONLY-DROP4-006,Stronger With You After Dark,Sweet-spicy premium scent with long wear.,137.0,177.0,16,https://cdn.fragrancenet.com/images/photos/900x900/325180.jpg,active,"cologne,men,armani,drop4"
ADDONLY-DROP4-007,Versace Eros Black Box,Bestselling-style mainstream cologne option.,129.0,167.0,24,https://cdn.fragrancenet.com/images/photos/900x900/372595.jpg,active,"cologne,men,versace,drop4"
ADDONLY-DROP4-008,Mainstream Cologne Starter Bundle,Starter bundle featuring top-style scent profiles.,152.0,199.0,12,https://images.unsplash.com/photo-1683401100111-40306e381429?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=sanket-mishra-olwncwHENlQ-unsplash.jpg&w=1400,active,"cologne,men,bundle,drop4"
ADDONLY-DROP4-009,Urban Fragrance Gift Set,Gift-ready mainstream fragrance presentation.,118.0,156.0,19,https://images.unsplash.com/photo-1623607037050-ac8e7cce86c6?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=tron-le--eYFABw8b0c-unsplash.jpg&w=1400,active,"cologne,men,gift,drop4"
ADDONLY-DROP4-010,Premium Daily Cologne Kit,Everyday premium fragrance kit for first-time buyers.,124.0,162.0,20,https://images.unsplash.com/photo-1635847421955-db26af776e5d?ixlib=rb-4.1.0&q=85&fm=jpg&crop=entropy&cs=srgb&dl=marie-g-Qjdzsw-lBJ4-unsplash.jpg&w=1400,active,"cologne,men,premium,drop4"
