SKU,Title,URL handle,Description,Price,Compare-at price,Inventory quantity,Product image URL,Status,Tags
COLOGNE-00001,Signature Citrus Cologne 30ml 001,signature-citrus-cologne-30ml-001,"Signature men's cologne with citrus notes. 30ml bottle, long-lasting scent profile.",26.79,36.17,21,https://unsplash.com/photos/olwncwHENlQ/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00002,Noir Woody Cologne 50ml 002,noir-woody-cologne-50ml-002,"Noir men's cologne with woody notes. 50ml bottle, long-lasting scent profile.",28.59,38.60,22,https://unsplash.com/photos/-eYFABw8b0c/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00003,Elite Fresh Cologne 75ml 003,elite-fresh-cologne-75ml-003,"Elite men's cologne with fresh notes. 75ml bottle, long-lasting scent profile.",30.39,41.03,23,https://unsplash.com/photos/Qjdzsw-lBJ4/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00004,Sport Spicy Cologne 100ml 004,sport-spicy-cologne-100ml-004,"Sport men's cologne with spicy notes. 100ml bottle, long-lasting scent profile.",32.19,43.46,24,https://unsplash.com/photos/mtCh6Ny8LaU/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00005,Reserve Amber Cologne 30ml 005,reserve-amber-cologne-30ml-005,"Reserve men's cologne with amber notes. 30ml bottle, long-lasting scent profile.",33.99,45.89,25,https://unsplash.com/photos/-bNjKyrm9CM/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00006,Classic Aromatic Cologne 50ml 006,classic-aromatic-cologne-50ml-006,"Classic men's cologne with aromatic notes. 50ml bottle, long-lasting scent profile.",35.79,48.32,26,https://unsplash.com/photos/xsS6wfjFTcw/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00007,Signature Marine Cologne 75ml 007,signature-marine-cologne-75ml-007,"Signature men's cologne with marine notes. 75ml bottle, long-lasting scent profile.",37.59,50.75,27,https://unsplash.com/photos/XlacyI9_9DI/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00008,Noir Leather Cologne 100ml 008,noir-leather-cologne-100ml-008,"Noir men's cologne with leather notes. 100ml bottle, long-lasting scent profile.",39.39,53.18,28,https://unsplash.com/photos/3C5ZfCLSGC4/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00009,Elite Floral Cologne 30ml 009,elite-floral-cologne-30ml-009,"Elite men's cologne with floral notes. 30ml bottle, long-lasting scent profile.",41.19,55.61,29,https://unsplash.com/photos/OD1fzMu-UoY/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00010,Sport Musk Cologne 50ml 010,sport-musk-cologne-50ml-010,"Sport men's cologne with musk notes. 50ml bottle, long-lasting scent profile.",42.99,58.04,30,https://unsplash.com/photos/2-wwsTjyxcY/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00011,Reserve Citrus Cologne 75ml 011,reserve-citrus-cologne-75ml-011,"Reserve men's cologne with citrus notes. 75ml bottle, long-lasting scent profile.",44.79,60.47,31,https://unsplash.com/photos/aorgVxTpNho/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00012,Classic Woody Cologne 100ml 012,classic-woody-cologne-100ml-012,"Classic men's cologne with woody notes. 100ml bottle, long-lasting scent profile.",46.59,62.90,32,https://unsplash.com/photos/qfcXyG3cUJ8/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00013,Signature Fresh Cologne 30ml 013,signature-fresh-cologne-30ml-013,"Signature men's cologne with fresh notes. 30ml bottle, long-lasting scent profile.",48.39,65.33,33,https://unsplash.com/photos/olwncwHENlQ/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00014,Noir Spicy Cologne 50ml 014,noir-spicy-cologne-50ml-014,"Noir men's cologne with spicy notes. 50ml bottle, long-lasting scent profile.",50.19,67.76,34,https://unsplash.com/photos/-eYFABw8b0c/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00015,Elite Amber Cologne 75ml 015,elite-amber-cologne-75ml-015,"Elite men's cologne with amber notes. 75ml bottle, long-lasting scent profile.",51.99,70.19,35,https://unsplash.com/photos/Qjdzsw-lBJ4/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00016,Sport Aromatic Cologne 100ml 016,sport-aromatic-cologne-100ml-016,"Sport men's cologne with aromatic notes. 100ml bottle, long-lasting scent profile.",53.79,72.62,36,https://unsplash.com/photos/mtCh6Ny8LaU/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00017,Reserve Marine Cologne 30ml 017,reserve-marine-cologne-30ml-017,"Reserve men's cologne with marine notes. 30ml bottle, long-lasting scent profile.",55.59,75.05,37,https://unsplash.com/photos/-bNjKyrm9CM/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00018,Classic Leather Cologne 50ml 018,classic-leather-cologne-50ml-018,"Classic men's cologne with leather notes. 50ml bottle, long-lasting scent profile.",57.39,77.48,38,https://unsplash.com/photos/xsS6wfjFTcw/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00019,Signature Floral Cologne 75ml 019,signature-floral-cologne-75ml-019,"Signature men's cologne with floral notes. 75ml bottle, long-lasting scent profile.",59.19,79.91,39,https://unsplash.com/photos/XlacyI9_9DI/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00020,Noir Musk Cologne 100ml 020,noir-musk-cologne-100ml-020,"Noir men's cologne with musk notes. 100ml bottle, long-lasting scent profile.",24.99,33.74,40,https://unsplash.com/photos/3C5ZfCLSGC4/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00021,Elite Citrus Cologne 30ml 021,elite-citrus-cologne-30ml-021,"Elite men's cologne with citrus notes. 30ml bottle, long-lasting scent profile.",26.79,36.17,41,https://unsplash.com/photos/OD1fzMu-UoY/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00022,Sport Woody Cologne 50ml 022,sport-woody-cologne-50ml-022,"Sport men's cologne with woody notes. 50ml bottle, long-lasting scent profile.",28.59,38.60,42,https://unsplash.com/photos/2-wwsTjyxcY/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00023,Reserve Fresh Cologne 75ml 023,reserve-fresh-cologne-75ml-023,"Reserve men's cologne with fresh notes. 75ml bottle, long-lasting scent profile.",30.39,41.03,43,https://unsplash.com/photos/aorgVxTpNho/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00024,Classic Spicy Cologne 100ml 024,classic-spicy-cologne-100ml-024,"Classic men's cologne with spicy notes. 100ml bottle, long-lasting scent profile.",32.19,43.46,44,https://unsplash.com/photos/qfcXyG3cUJ8/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00025,Signature Amber Cologne 30ml 025,signature-amber-cologne-30ml-025,"Signature men's cologne with amber notes. 30ml bottle, long-lasting scent profile.",33.99,45.89,45,https://unsplash.com/photos/olwncwHENlQ/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00026,Noir Aromatic Cologne 50ml 026,noir-aromatic-cologne-50ml-026,"Noir men's cologne with aromatic notes. 50ml bottle, long-lasting scent profile.",35.79,48.32,46,https://unsplash.com/photos/-eYFABw8b0c/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00027,Elite Marine Cologne 75ml 027,elite-marine-cologne-75ml-027,"Elite men's cologne with marine notes. 75ml bottle, long-lasting scent profile.",37.59,50.75,47,https://unsplash.com/photos/Qjdzsw-lBJ4/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00028,Sport Leather Cologne 100ml 028,sport-leather-cologne-100ml-028,"Sport men's cologne with leather notes. 100ml bottle, long-lasting scent profile.",39.39,53.18,48,https://unsplash.com/photos/mtCh6Ny8LaU/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00029,Reserve Floral Cologne 30ml 029,reserve-floral-cologne-30ml-029,"Reserve men's cologne with floral notes. 30ml bottle, long-lasting scent profile.",41.19,55.61,49,https://unsplash.com/photos/-bNjKyrm9CM/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00030,Classic Musk Cologne 50ml 030,classic-musk-cologne-50ml-030,"Classic men's cologne with musk notes. 50ml bottle, long-lasting scent profile.",42.99,58.04,50,https://unsplash.com/photos/xsS6wfjFTcw/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00031,Signature Citrus Cologne 75ml 031,signature-citrus-cologne-75ml-031,"Signature men's cologne with citrus notes. 75ml bottle, long-lasting scent profile.",44.79,60.47,51,https://unsplash.com/photos/XlacyI9_9DI/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
COLOGNE-00032,Noir Woody Cologne 100ml 032,noir-woody-cologne-100ml-032,"Noir men's cologne with woody notes. 100ml bottle, long-lasting scent profile.",46.59,62.90,52,https://unsplash.com/photos/3C5ZfCLSGC4/download?force=true&w=1200,active,"cologne,fragrance,men,beauty"
