Item ID,Product Name,Category Path,Price,Product URL
SBS-003962,Deep/Dark Powder Contour Palette,beauty / makeup / face,$14.99,https://www.sallybeauty.com/beauty/makeup/face/deep-dark-powder-contour-palette/SBS-003962.html
SBS-009403,Setting Spray,beauty / makeup / face,$7.29,https://www.sallybeauty.com/beauty/makeup/face/setting-spray/SBS-009403.html
SBS-528401,Instant Arched Brows,beauty / makeup / eyebrows,$5.19,https://www.sallybeauty.com/beauty/makeup/eyebrows/instant-arched-brows/SBS-528401.html
SBS-525350,Facial Hair Razors,beauty / makeup / tools and brushes,$5.99,https://www.sallybeauty.com/beauty/makeup/tools-and-brushes/eyebrow-shaper/SBS-525350.html
SBS-655614,Charcoal Powder Cleanser,beauty / skincare / cleansers and toners,$2.00,https://www.sallybeauty.com/beauty/skincare/cleansers-and-toners/charcoal-powder-cleanser/SBS-655614.html
SBS-169609,Body Buffing Pad,beauty / skincare / body care,$2.99,https://www.sallybeauty.com/beauty/skincare/body-care/body-buffing-pad/SBS-169609.html
SBS-008834,Glow Serum with Plant-derived Squalane,beauty / skincare / glow serum with plant derived squalane,$19.79,https://www.sallybeauty.com/beauty/skincare/glow-serum-with-plant-derived-squalane/SBS-008834.html
SBS-009851,Mini Cleansing Brush,beauty / skincare / skincare accessories and tools,$2.75,https://www.sallybeauty.com/beauty/skincare/skincare-accessories-and-tools/mini-cleansing-brush/SBS-009851.html
SBS-009492,Premium Cotton Cleansing Pads,beauty / skincare / skincare accessories and tools,$9.99,https://www.sallybeauty.com/beauty/skincare/skincare-accessories-and-tools/premium-cotton-cleansing-pads/SBS-009492.html
SBS-705333,Instant Self Tanner Bronzing Mousse,cosmetics and skin care / waxing and tanning / self tanning,$14.29,https://www.sallybeauty.com/cosmetics-and-skin-care/waxing-and-tanning/self-tanning/instant-self-tanner-bronzing-mousse/SBS-705333.html
SBS-448035,14 oz All Purpose Honee Wax,beauty / hair removal / eyebrow and body waxes,$14.99,https://www.sallybeauty.com/beauty/hair-removal/eyebrow-and-body-waxes/14-oz-all-purpose-honee-wax/SBS-448035.html
SBS-448508,Mini Pro Waxing Kit,beauty / hair removal / eyebrow and body waxes,$64.99,https://www.sallybeauty.com/beauty/hair-removal/eyebrow-and-body-waxes/mini-pro-waxing-kit/SBS-448508.html
SBS-448027,Azulene Wax,beauty / hair removal / azulene wax,$17.99,https://www.sallybeauty.com/beauty/hair-removal/azulene-wax/SBS-448027.html
SBS-008712,I want the darkest tan possible - self tan mousse,cosmetics and skin care / waxing and tanning / self tanning,$13.99,https://www.sallybeauty.com/cosmetics-and-skin-care/waxing-and-tanning/self-tanning/i-want-the-darkest-tan-possible---self-tan-mousse/SBS-008712.html
SBS-019716,Glow Your Own Way Next Level Tan Gel,cosmetics and skin care / waxing and tanning / self tanning,$16.99,https://www.sallybeauty.com/cosmetics-and-skin-care/waxing-and-tanning/self-tanning/glow-your-own-way-next-level-tan-gel/SBS-019716.html
SBS-019718,Glow Your Own Way Tan Gel,cosmetics and skincare / waxing and tanning / self tanning,$16.99,https://www.sallybeauty.com/cosmetics-and-skincare/waxing-and-tanning/self-tanning/glow-your-own-way-tan-gel/SBS-019718.html
SBS-018740,Bonding Technology Lightener Tub 16 oz,hair color / other products and applications / bleach and lightener,$25.49,https://www.sallybeauty.com/hair-color/other-products-and-applications/bleach-and-lightener/bonding-technology-lightener-tub-16-oz/SBS-018740.html
SBS-124187,Value Size Creme Lightener,hair color / other products and applications / bleach and lightener,$19.79,https://www.sallybeauty.com/hair-color/other-products-and-applications/bleach-and-lightener/value-size-creme-lightener/SBS-124187.html
SBS-018926,Cooling Ash Bonding Toner Demi-Permanent Hair Color,hair color / other products and applications / toner,$12.99,https://www.sallybeauty.com/hair-color/other-products-and-applications/toner/cooling-ash-bonding-toner/SBS-018926.html
SBS-405017,Absolute Perfection Booster Step 1,hair color / other products and applications / fillers and additives,$2.69,https://www.sallybeauty.com/hair-color/other-products-and-applications/fillers-and-additives/absolute-perfection-booster-step-1/SBS-405017.html
SBS-004783,"Bleach, Please Complete Lightening Kit",hair color / other products and applications / bleach and lightener,$19.99,https://www.sallybeauty.com/hair-color/other-products-and-applications/bleach-and-lightener/bleach-please-complete-lightening-kit/SBS-004783.html
SBS-019367,1B Blue Black Permanent Liqui-Crème Hair Color,hair color / shop by type / permanent hair color,$13.19,https://www.sallybeauty.com/hair-color/shop-by-type/permanent-hair-color/1b-blue-black-permanent-liqui-cr%C3%A8me-hair-color/SBS-019367.html
SBS-019361,5RR Intense Red Permanent Liqui-Crème Hair Color,hair color / shop by type / permanent hair color,$13.19,https://www.sallybeauty.com/hair-color/shop-by-type/permanent-hair-color/5rr-intense-red-permanent-liqui-cr%C3%A8me-hair-color/SBS-019361.html
SBS-500269,Intense Red Permanent Creme Hair Color,hair color / shop by color / red hair color,$13.19,https://www.sallybeauty.com/hair-color/shop-by-color/red-hair-color/intense-red-permanent-creme-hair-color/SBS-500269.html
